GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino
1500000US130630405212,1.31E+11,Block Group 2 Census Tract 405.21 Clayton County Georgia,1571,1492,79
1500000US130630405221,1.31E+11,Block Group 1 Census Tract 405.22 Clayton County Georgia,1766,1495,271
1500000US130630405222,1.31E+11,Block Group 2 Census Tract 405.22 Clayton County Georgia,1455,1393,62
1500000US130630405223,1.31E+11,Block Group 3 Census Tract 405.22 Clayton County Georgia,1167,1101,66
1500000US130630405231,1.31E+11,Block Group 1 Census Tract 405.23 Clayton County Georgia,3419,2836,583
1500000US130630405241,1.31E+11,Block Group 1 Census Tract 405.24 Clayton County Georgia,1884,1811,73
1500000US130630405242,1.31E+11,Block Group 2 Census Tract 405.24 Clayton County Georgia,1996,1658,338
1500000US130630405243,1.31E+11,Block Group 3 Census Tract 405.24 Clayton County Georgia,1088,1003,85
1500000US130630405244,1.31E+11,Block Group 4 Census Tract 405.24 Clayton County Georgia,2475,1841,634
1500000US130630405251,1.31E+11,Block Group 1 Census Tract 405.25 Clayton County Georgia,2852,2736,116
1500000US130630405261,1.31E+11,Block Group 1 Census Tract 405.26 Clayton County Georgia,2209,2097,112
1500000US130630405262,1.31E+11,Block Group 2 Census Tract 405.26 Clayton County Georgia,2141,1834,307
1500000US130630405263,1.31E+11,Block Group 3 Census Tract 405.26 Clayton County Georgia,1432,1380,52
1500000US130630406061,1.31E+11,Block Group 1 Census Tract 406.06 Clayton County Georgia,1954,1683,271
1500000US130630406062,1.31E+11,Block Group 2 Census Tract 406.06 Clayton County Georgia,1786,1157,629
1500000US130630406081,1.31E+11,Block Group 1 Census Tract 406.08 Clayton County Georgia,8254,7916,338
1500000US130630406082,1.31E+11,Block Group 2 Census Tract 406.08 Clayton County Georgia,2636,2591,45
1500000US130630406091,1.31E+11,Block Group 1 Census Tract 406.09 Clayton County Georgia,1633,1554,79
1500000US130630406092,1.31E+11,Block Group 2 Census Tract 406.09 Clayton County Georgia,2330,1972,358
1500000US130630406093,1.31E+11,Block Group 3 Census Tract 406.09 Clayton County Georgia,2166,2071,95
1500000US130630406111,1.31E+11,Block Group 1 Census Tract 406.11 Clayton County Georgia,2911,2118,793
1500000US130630406112,1.31E+11,Block Group 2 Census Tract 406.11 Clayton County Georgia,655,615,40
1500000US130630406113,1.31E+11,Block Group 3 Census Tract 406.11 Clayton County Georgia,2442,2047,395
1500000US130630406121,1.31E+11,Block Group 1 Census Tract 406.12 Clayton County Georgia,749,738,11
1500000US130630406122,1.31E+11,Block Group 2 Census Tract 406.12 Clayton County Georgia,3170,2617,553
1500000US130630406123,1.31E+11,Block Group 3 Census Tract 406.12 Clayton County Georgia,2635,2538,97
1500000US130630406131,1.31E+11,Block Group 1 Census Tract 406.13 Clayton County Georgia,2401,2224,177
1500000US130630406132,1.31E+11,Block Group 2 Census Tract 406.13 Clayton County Georgia,2115,2058,57
1500000US130630406133,1.31E+11,Block Group 3 Census Tract 406.13 Clayton County Georgia,3298,3199,99
1500000US130630406141,1.31E+11,Block Group 1 Census Tract 406.14 Clayton County Georgia,1359,1359,0
1500000US130630406142,1.31E+11,Block Group 2 Census Tract 406.14 Clayton County Georgia,1728,1550,178
1500000US130630406143,1.31E+11,Block Group 3 Census Tract 406.14 Clayton County Georgia,1424,1301,123
1500000US130630406151,1.31E+11,Block Group 1 Census Tract 406.15 Clayton County Georgia,2107,1905,202
1500000US130630406161,1.31E+11,Block Group 1 Census Tract 406.16 Clayton County Georgia,5351,5012,339
1500000US130630406162,1.31E+11,Block Group 2 Census Tract 406.16 Clayton County Georgia,614,601,13
1500000US130630406163,1.31E+11,Block Group 3 Census Tract 406.16 Clayton County Georgia,1936,1487,449
1500000US130630406171,1.31E+11,Block Group 1 Census Tract 406.17 Clayton County Georgia,1609,516,1093
1500000US130630406191,1.31E+11,Block Group 1 Census Tract 406.19 Clayton County Georgia,3280,2942,338
1500000US130630406201,1.31E+11,Block Group 1 Census Tract 406.20 Clayton County Georgia,3325,2907,418
1500000US130630406211,1.31E+11,Block Group 1 Census Tract 406.21 Clayton County Georgia,5542,5059,483
1500000US130630406212,1.31E+11,Block Group 2 Census Tract 406.21 Clayton County Georgia,4137,3835,302
1500000US130630406221,1.31E+11,Block Group 1 Census Tract 406.22 Clayton County Georgia,3379,2934,445
1500000US130630406222,1.31E+11,Block Group 2 Census Tract 406.22 Clayton County Georgia,3305,2354,951
1500000US130630406223,1.31E+11,Block Group 3 Census Tract 406.22 Clayton County Georgia,1243,1243,0
1500000US130639800001,1.31E+11,Block Group 1 Census Tract 9800 Clayton County Georgia,0,0,0
1500000US130670301011,1.31E+11,Block Group 1 Census Tract 301.01 Cobb County Georgia,1081,1063,18
1500000US130670301012,1.31E+11,Block Group 2 Census Tract 301.01 Cobb County Georgia,1442,1248,194
