GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21,HD01_VD22,HD01_VD23,HD01_VD24,HD01_VD25
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - No schooling completed,Estimate; Total: - Nursery school,Estimate; Total: - Kindergarten,Estimate; Total: - 1st grade,Estimate; Total: - 2nd grade,Estimate; Total: - 3rd grade,Estimate; Total: - 4th grade,Estimate; Total: - 5th grade,Estimate; Total: - 6th grade,Estimate; Total: - 7th grade,Estimate; Total: - 8th grade,Estimate; Total: - 9th grade,Estimate; Total: - 10th grade,Estimate; Total: - 11th grade,Estimate; Total: - 12th grade no diploma,Estimate; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Estimate; Total: - Some college less than 1 year,Estimate; Total: - Some college 1 or more years no degree,Estimate; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Estimate; Total: - Professional school degree,Estimate; Total: - Doctorate degree
0100000US,,United States,"209,056,129","2,886,666","28,612","38,463","140,352","316,010","656,325","516,574","728,363","2,768,475","1,054,643","3,059,196","3,555,052","4,264,386","4,813,043","3,761,588","50,169,338","8,271,262","13,102,493","31,139,065","16,580,076","38,184,668","16,246,947","4,088,689","2,685,843"
1500000US130630405161,130630000000,Block Group 1 Census Tract 405.16 Clayton County Georgia,2340,162,0,0,0,0,0,0,10,38,0,91,27,135,99,33,645,0,296,376,235,99,34,60,0
1500000US130630405162,130630000000,Block Group 2 Census Tract 405.16 Clayton County Georgia,797,13,0,0,0,0,0,0,0,0,48,0,0,67,0,48,237,0,22,296,15,51,0,0,0
1500000US130630405163,130630000000,Block Group 3 Census Tract 405.16 Clayton County Georgia,603,0,0,0,0,0,0,0,0,0,0,0,26,13,0,50,170,11,38,100,36,147,12,0,0
1500000US130630405181,130630000000,Block Group 1 Census Tract 405.18 Clayton County Georgia,338,0,0,0,0,0,0,0,0,0,0,0,10,10,14,0,84,82,42,68,0,28,0,0,0
1500000US130630405182,130630000000,Block Group 2 Census Tract 405.18 Clayton County Georgia,1449,52,0,0,0,0,0,0,0,0,0,9,0,64,74,7,512,84,108,232,63,196,48,0,0
1500000US130630405183,130630000000,Block Group 3 Census Tract 405.18 Clayton County Georgia,963,12,0,0,0,0,0,0,0,5,0,72,80,36,20,78,307,29,12,130,43,87,0,52,0
1500000US130630405191,130630000000,Block Group 1 Census Tract 405.19 Clayton County Georgia,1967,22,0,0,0,0,0,0,0,0,0,39,0,107,130,39,682,31,122,344,126,204,59,8,54
1500000US130630405192,130630000000,Block Group 2 Census Tract 405.19 Clayton County Georgia,511,0,0,0,0,0,0,0,0,0,0,0,0,8,18,18,120,35,53,110,30,119,0,0,0
1500000US130630405201,130630000000,Block Group 1 Census Tract 405.20 Clayton County Georgia,409,66,0,0,0,0,0,0,0,0,13,33,0,36,9,0,46,6,41,119,29,6,0,5,0
1500000US130630405202,130630000000,Block Group 2 Census Tract 405.20 Clayton County Georgia,420,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,17,31,57,92,85,17,0,0
1500000US130630405203,130630000000,Block Group 3 Census Tract 405.20 Clayton County Georgia,1305,0,0,0,0,0,0,0,0,0,0,0,15,54,104,43,521,27,88,164,168,78,43,0,0
1500000US130630405211,130630000000,Block Group 1 Census Tract 405.21 Clayton County Georgia,1040,24,0,0,0,0,0,0,15,0,56,13,24,4,54,23,331,79,119,162,52,65,19,0,0
1500000US130630405212,130630000000,Block Group 2 Census Tract 405.21 Clayton County Georgia,1155,9,0,0,0,0,0,0,32,0,14,0,0,0,129,82,242,41,70,199,228,85,24,0,0
1500000US130630405221,130630000000,Block Group 1 Census Tract 405.22 Clayton County Georgia,1145,0,0,0,0,7,0,0,0,46,25,23,15,37,9,71,389,120,59,152,77,79,36,0,0
1500000US130630405222,130630000000,Block Group 2 Census Tract 405.22 Clayton County Georgia,944,8,0,0,0,0,0,0,0,19,0,0,0,0,0,37,285,45,46,147,91,173,21,17,55
1500000US130630405223,130630000000,Block Group 3 Census Tract 405.22 Clayton County Georgia,855,10,0,0,0,5,4,0,46,73,66,26,80,3,0,0,191,51,55,180,32,23,0,10,0
