GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21,HD01_VD22,HD01_VD23,HD01_VD24,HD01_VD25,HD01_VD26,HD01_VD27,HD01_VD28,HD01_VD29,HD01_VD30,HD01_VD31,HD01_VD32,HD01_VD33,HD01_VD34,HD01_VD35,HD01_VD36,HD01_VD37,HD01_VD38,HD01_VD39,HD01_VD40,HD01_VD41,HD01_VD42,HD01_VD43,HD01_VD44,HD01_VD45,HD01_VD46,HD01_VD47,HD01_VD48,HD01_VD49,HD01_VD50,HD01_VD51,HD01_VD52,HD01_VD53,HD01_VD54,HD01_VD55,HD01_VD56,HD01_VD57,HD01_VD58,HD01_VD59,HD01_VD60,HD01_VD61,HD01_VD62,HD01_VD63,HD01_VD64,HD01_VD65,HD01_VD66
1500000US130670302361,130670000000,Block Group 1 Census Tract 302.36 Cobb County Georgia,2756,896,869,810,44,0,0,15,0,0,0,0,0,0,0,0,27,362,240,202,38,0,0,0,0,14,14,0,0,0,0,0,108,1321,1207,1113,82,0,0,0,12,35,26,0,0,0,0,0,9,79,177,70,33,0,37,0,0,107,0,76,6,0,0,0,25,0
1500000US130670302362,130670000000,Block Group 2 Census Tract 302.36 Cobb County Georgia,1907,468,468,386,72,0,0,10,0,0,0,0,0,0,0,0,0,275,234,181,53,0,0,0,0,41,0,0,0,0,0,41,0,981,885,770,94,0,0,21,0,45,28,0,0,0,0,0,17,51,183,37,23,0,14,0,0,146,0,116,0,0,0,0,30,0
1500000US130670302381,130670000000,Block Group 1 Census Tract 302.38 Cobb County Georgia,3467,858,820,783,0,0,18,19,0,38,0,0,0,38,0,0,0,685,685,608,0,0,0,77,0,0,0,0,0,0,0,0,0,1747,1652,1573,12,0,18,49,0,95,0,0,0,0,21,0,74,0,177,31,7,0,24,0,0,146,0,52,33,18,0,0,43,0
1500000US130670302382,130670000000,Block Group 2 Census Tract 302.38 Cobb County Georgia,3252,1038,1004,835,114,0,55,0,0,16,0,0,0,0,0,16,18,472,376,366,6,0,0,4,0,17,0,0,0,17,0,0,79,1541,1284,1072,153,0,20,20,19,101,19,0,9,0,15,0,58,156,201,69,0,0,69,0,0,132,0,27,69,9,0,0,27,0
1500000US130670302391,130670000000,Block Group 1 Census Tract 302.39 Cobb County Georgia,1836,495,480,404,32,0,11,33,0,0,0,0,0,0,0,0,15,403,334,288,29,0,0,17,0,0,0,0,0,0,0,0,69,845,689,646,15,0,0,28,0,31,0,0,0,0,0,0,31,125,93,36,0,0,36,0,0,57,0,29,0,0,0,0,28,0
1500000US130670302392,130670000000,Block Group 2 Census Tract 302.39 Cobb County Georgia,3134,675,615,505,43,0,67,0,0,42,0,0,0,0,0,42,18,520,300,300,0,0,0,0,0,0,0,0,0,0,0,0,220,1289,1060,820,213,27,0,0,0,31,31,0,0,0,0,0,0,198,650,225,0,0,225,0,0,425,0,135,105,0,0,0,185,0
1500000US130670302393,130670000000,Block Group 3 Census Tract 302.39 Cobb County Georgia,3302,1083,992,904,28,0,11,49,0,91,74,0,0,0,0,17,0,559,559,515,17,0,0,27,0,0,0,0,0,0,0,0,0,1440,1350,1258,68,0,0,24,0,90,65,0,0,0,0,0,25,0,220,88,0,0,88,0,0,132,0,59,26,0,0,0,47,0
1500000US130670303101,130670000000,Block Group 1 Census Tract 303.10 Cobb County Georgia,1450,439,374,197,0,0,177,0,0,0,0,0,0,0,0,0,65,386,226,121,34,0,71,0,0,0,0,0,0,0,0,0,160,509,288,241,0,0,47,0,0,0,0,0,0,0,0,0,0,221,116,38,23,0,15,0,0,61,0,0,18,22,0,0,21,17
1500000US130670303102,130670000000,Block Group 2 Census Tract 303.10 Cobb County Georgia,2330,612,556,473,12,0,71,0,0,36,27,0,9,0,0,0,20,721,604,491,72,41,0,0,0,0,0,0,0,0,0,0,117,868,685,527,137,0,11,0,10,50,33,0,0,17,0,0,0,133,129,50,0,0,50,0,0,79,0,45,3,0,0,0,31,0
1500000US130670303103,130670000000,Block Group 3 Census Tract 303.10 Cobb County Georgia,776,157,133,133,0,0,0,0,0,13,13,0,0,0,0,0,11,189,149,126,23,0,0,0,0,27,27,0,0,0,0,0,13,333,271,248,12,0,0,0,11,11,11,0,0,0,0,0,0,51,97,31,0,0,31,0,0,66,0,0,0,0,0,0,66,0
