GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11
Id,Id2,Geography,Estimate; Total:,Estimate; Households with one or more people 65 years and over:,Estimate; Households with one or more people 65 years and over: - 1-person household,Estimate; Households with one or more people 65 years and over: - 2-or-more-person household:,Estimate; Households with one or more people 65 years and over: - 2-or-more-person household: - Family households,Estimate; Households with one or more people 65 years and over: - 2-or-more-person household: - Nonfamily households,Estimate; Households with no people 65 years and over:,Estimate; Households with no people 65 years and over: - 1-person households,Estimate; Households with no people 65 years and over: - 2-or-more-person household:,Estimate; Households with no people 65 years and over: - 2-or-more-person household: - Family households,Estimate; Households with no people 65 years and over: - 2-or-more-person household: - Nonfamily households
1500000US130630405122,130630000000,Block Group 2 Census Tract 405.12 Clayton County Georgia,227,64,39,25,25,0,163,44,119,119,0
1500000US130630405123,130630000000,Block Group 3 Census Tract 405.12 Clayton County Georgia,542,63,12,51,51,0,479,69,410,362,48
1500000US130630405131,130630000000,Block Group 1 Census Tract 405.13 Clayton County Georgia,350,113,0,113,113,0,237,43,194,194,0
1500000US130630405132,130630000000,Block Group 2 Census Tract 405.13 Clayton County Georgia,507,281,90,191,157,34,226,50,176,176,0
1500000US130630405133,130630000000,Block Group 3 Census Tract 405.13 Clayton County Georgia,594,104,15,89,82,7,490,97,393,393,0
1500000US130630405141,130630000000,Block Group 1 Census Tract 405.14 Clayton County Georgia,485,43,16,27,27,0,442,138,304,242,62
1500000US130630405142,130630000000,Block Group 2 Census Tract 405.14 Clayton County Georgia,595,52,12,40,40,0,543,100,443,406,37
1500000US130630405143,130630000000,Block Group 3 Census Tract 405.14 Clayton County Georgia,1487,196,31,165,165,0,1291,464,827,765,62
1500000US130630405151,130630000000,Block Group 1 Census Tract 405.15 Clayton County Georgia,247,36,10,26,26,0,211,60,151,151,0
1500000US130630405152,130630000000,Block Group 2 Census Tract 405.15 Clayton County Georgia,674,131,0,131,131,0,543,60,483,468,15
1500000US130630405153,130630000000,Block Group 3 Census Tract 405.15 Clayton County Georgia,614,60,47,13,13,0,554,210,344,344,0
1500000US130630405154,130630000000,Block Group 4 Census Tract 405.15 Clayton County Georgia,1034,101,40,61,61,0,933,320,613,599,14
1500000US130630405161,130630000000,Block Group 1 Census Tract 405.16 Clayton County Georgia,1304,248,56,192,192,0,1056,456,600,600,0
1500000US130630405162,130630000000,Block Group 2 Census Tract 405.16 Clayton County Georgia,370,36,14,22,22,0,334,28,306,223,83
1500000US130630405163,130630000000,Block Group 3 Census Tract 405.16 Clayton County Georgia,366,49,30,19,19,0,317,63,254,236,18
1500000US130630405181,130630000000,Block Group 1 Census Tract 405.18 Clayton County Georgia,204,42,0,42,42,0,162,29,133,133,0
1500000US130630405182,130630000000,Block Group 2 Census Tract 405.18 Clayton County Georgia,796,48,12,36,36,0,748,101,647,579,68
1500000US130630405183,130630000000,Block Group 3 Census Tract 405.18 Clayton County Georgia,484,68,0,68,68,0,416,139,277,277,0
1500000US130630405191,130630000000,Block Group 1 Census Tract 405.19 Clayton County Georgia,1555,102,69,33,33,0,1453,685,768,624,144
1500000US130630405192,130630000000,Block Group 2 Census Tract 405.19 Clayton County Georgia,436,16,16,0,0,0,420,260,160,160,0
1500000US130630405201,130630000000,Block Group 1 Census Tract 405.20 Clayton County Georgia,299,38,13,25,25,0,261,95,166,148,18
1500000US130630405202,130630000000,Block Group 2 Census Tract 405.20 Clayton County Georgia,371,0,0,0,0,0,371,270,101,84,17
1500000US130630405203,130630000000,Block Group 3 Census Tract 405.20 Clayton County Georgia,871,65,22,43,43,0,806,285,521,365,156
1500000US130630405211,130630000000,Block Group 1 Census Tract 405.21 Clayton County Georgia,513,79,22,57,57,0,434,36,398,357,41
1500000US130630405212,130630000000,Block Group 2 Census Tract 405.21 Clayton County Georgia,494,85,16,69,69,0,409,123,286,262,24
1500000US130630405221,130630000000,Block Group 1 Census Tract 405.22 Clayton County Georgia,607,79,31,48,48,0,528,141,387,324,63
1500000US130630405222,130630000000,Block Group 2 Census Tract 405.22 Clayton County Georgia,608,67,31,36,36,0,541,200,341,327,14
1500000US130630405223,130630000000,Block Group 3 Census Tract 405.22 Clayton County Georgia,394,105,15,90,90,0,289,88,201,201,0
1500000US130630405231,130630000000,Block Group 1 Census Tract 405.23 Clayton County Georgia,973,194,67,127,115,12,779,166,613,575,38
1500000US130630405241,130630000000,Block Group 1 Census Tract 405.24 Clayton County Georgia,754,107,53,54,35,19,647,187,460,377,83
1500000US130630405242,130630000000,Block Group 2 Census Tract 405.24 Clayton County Georgia,798,228,88,140,140,0,570,229,341,326,15
1500000US130630405243,130630000000,Block Group 3 Census Tract 405.24 Clayton County Georgia,312,70,0,70,70,0,242,86,156,156,0
1500000US130630405244,130630000000,Block Group 4 Census Tract 405.24 Clayton County Georgia,771,107,48,59,59,0,664,150,514,462,52
1500000US130630405251,130630000000,Block Group 1 Census Tract 405.25 Clayton County Georgia,985,149,18,131,131,0,836,267,569,543,26
1500000US130630405261,130630000000,Block Group 1 Census Tract 405.26 Clayton County Georgia,645,110,18,92,92,0,535,164,371,351,20
1500000US130630405262,130630000000,Block Group 2 Census Tract 405.26 Clayton County Georgia,765,108,56,52,52,0,657,238,419,405,14
1500000US130630405263,130630000000,Block Group 3 Census Tract 405.26 Clayton County Georgia,553,126,58,68,68,0,427,193,234,221,13
1500000US130630406061,130630000000,Block Group 1 Census Tract 406.06 Clayton County Georgia,550,172,36,136,136,0,378,90,288,271,17
1500000US130630406062,130630000000,Block Group 2 Census Tract 406.06 Clayton County Georgia,402,44,6,38,38,0,358,102,256,249,7
1500000US130630406081,130630000000,Block Group 1 Census Tract 406.08 Clayton County Georgia,2880,501,137,364,354,10,2379,527,1852,1744,108
1500000US130630406082,130630000000,Block Group 2 Census Tract 406.08 Clayton County Georgia,997,179,74,105,70,35,818,246,572,523,49
1500000US130630406091,130630000000,Block Group 1 Census Tract 406.09 Clayton County Georgia,570,114,0,114,114,0,456,172,284,233,51
1500000US130630406092,130630000000,Block Group 2 Census Tract 406.09 Clayton County Georgia,858,287,102,185,167,18,571,164,407,367,40
1500000US130630406093,130630000000,Block Group 3 Census Tract 406.09 Clayton County Georgia,835,112,30,82,69,13,723,249,474,376,98
1500000US130630406111,130630000000,Block Group 1 Census Tract 406.11 Clayton County Georgia,870,130,15,115,97,18,740,167,573,505,68
1500000US130630406112,130630000000,Block Group 2 Census Tract 406.11 Clayton County Georgia,432,71,57,14,14,0,361,229,132,116,16
1500000US130630406113,130630000000,Block Group 3 Census Tract 406.11 Clayton County Georgia,914,96,60,36,36,0,818,318,500,441,59
1500000US130630406121,130630000000,Block Group 1 Census Tract 406.12 Clayton County Georgia,321,107,64,43,30,13,214,115,99,92,7
1500000US130630406122,130630000000,Block Group 2 Census Tract 406.12 Clayton County Georgia,1044,120,74,46,46,0,924,308,616,554,62
1500000US130630406123,130630000000,Block Group 3 Census Tract 406.12 Clayton County Georgia,379,87,23,64,60,4,292,39,253,226,27
