GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21,HD01_VD22,HD01_VD23,HD01_VD24,HD01_VD25,HD01_VD26,HD01_VD27,HD01_VD28,HD01_VD29,HD01_VD30
Id,Id2,Geography,Estimate; Total:,Estimate; With own children under 18 years:,Estimate; With own children under 18 years: - Under 6 years only:,Estimate; With own children under 18 years: - Under 6 years only: - In labor force:,Estimate; With own children under 18 years: - Under 6 years only: - In labor force: - In Armed Forces,Estimate; With own children under 18 years: - Under 6 years only: - In labor force: - Civilian:,Estimate; With own children under 18 years: - Under 6 years only: - In labor force: - Civilian: - Employed,Estimate; With own children under 18 years: - Under 6 years only: - In labor force: - Civilian: - Unemployed,Estimate; With own children under 18 years: - Under 6 years only: - Not in labor force,Estimate; With own children under 18 years: - Under 6 years and 6 to 17 years:,Estimate; With own children under 18 years: - Under 6 years and 6 to 17 years: - In labor force:,Estimate; With own children under 18 years: - Under 6 years and 6 to 17 years: - In labor force: - In Armed Forces,Estimate; With own children under 18 years: - Under 6 years and 6 to 17 years: - In labor force: - Civilian:,Estimate; With own children under 18 years: - Under 6 years and 6 to 17 years: - In labor force: - Civilian: - Employed,Estimate; With own children under 18 years: - Under 6 years and 6 to 17 years: - In labor force: - Civilian: - Unemployed,Estimate; With own children under 18 years: - Under 6 years and 6 to 17 years: - Not in labor force,Estimate; With own children under 18 years: - 6 to 17 years only:,Estimate; With own children under 18 years: - 6 to 17 years only: - In labor force:,Estimate; With own children under 18 years: - 6 to 17 years only: - In labor force: - In Armed Forces,Estimate; With own children under 18 years: - 6 to 17 years only: - In labor force: - Civilian:,Estimate; With own children under 18 years: - 6 to 17 years only: - In labor force: - Civilian: - Employed,Estimate; With own children under 18 years: - 6 to 17 years only: - In labor force: - Civilian: - Unemployed,Estimate; With own children under 18 years: - 6 to 17 years only: - Not in labor force,Estimate; No own children under 18 years:,Estimate; No own children under 18 years: - In labor force:,Estimate; No own children under 18 years: - In labor force: - In Armed Forces,Estimate; No own children under 18 years: - In labor force: - Civilian:,Estimate; No own children under 18 years: - In labor force: - Civilian: - Employed,Estimate; No own children under 18 years: - In labor force: - Civilian: - Unemployed,Estimate; No own children under 18 years: - Not in labor force
1500000US130670310051,130670000000,Block Group 1 Census Tract 310.05 Cobb County Georgia,893,412,80,59,0,59,59,0,21,86,42,0,42,26,16,44,246,173,0,173,154,19,73,481,364,0,364,311,53,117
1500000US130670310052,130670000000,Block Group 2 Census Tract 310.05 Cobb County Georgia,733,292,74,48,0,48,0,48,26,23,0,0,0,0,0,23,195,178,0,178,156,22,17,441,332,0,332,324,8,109
1500000US130670311011,130670000000,Block Group 1 Census Tract 311.01 Cobb County Georgia,594,254,60,40,0,40,40,0,20,64,0,0,0,0,0,64,130,65,0,65,65,0,65,340,269,0,269,252,17,71
1500000US130670311012,130670000000,Block Group 2 Census Tract 311.01 Cobb County Georgia,303,141,10,10,0,10,10,0,0,81,57,0,57,57,0,24,50,50,0,50,50,0,0,162,118,0,118,79,39,44
1500000US130670311013,130670000000,Block Group 3 Census Tract 311.01 Cobb County Georgia,454,101,7,0,0,0,0,0,7,10,10,0,10,10,0,0,84,58,0,58,45,13,26,353,277,0,277,176,101,76
1500000US130670311061,130670000000,Block Group 1 Census Tract 311.06 Cobb County Georgia,410,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,160,0,160,160,0,18,232,136,0,136,136,0,96
1500000US130670311062,130670000000,Block Group 2 Census Tract 311.06 Cobb County Georgia,639,352,74,56,0,56,56,0,18,112,68,0,68,68,0,44,166,166,0,166,116,50,0,287,268,0,268,268,0,19
1500000US130670311063,130670000000,Block Group 3 Census Tract 311.06 Cobb County Georgia,551,201,14,14,0,14,14,0,0,7,7,0,7,7,0,0,180,180,0,180,180,0,0,350,318,0,318,318,0,32
1500000US130670311064,130670000000,Block Group 4 Census Tract 311.06 Cobb County Georgia,578,252,46,9,0,9,9,0,37,15,15,0,15,15,0,0,191,122,0,122,122,0,69,326,313,0,313,281,32,13
1500000US130670311081,130670000000,Block Group 1 Census Tract 311.08 Cobb County Georgia,161,75,11,11,0,11,11,0,0,17,0,0,0,0,0,17,47,34,0,34,34,0,13,86,58,0,58,58,0,28
1500000US130670311082,130670000000,Block Group 2 Census Tract 311.08 Cobb County Georgia,272,20,5,5,0,5,5,0,0,0,0,0,0,0,0,0,15,15,0,15,15,0,0,252,180,0,180,167,13,72
1500000US130670311083,130670000000,Block Group 3 Census Tract 311.08 Cobb County Georgia,1138,211,144,114,0,114,114,0,30,18,18,0,18,18,0,0,49,49,0,49,49,0,0,927,877,0,877,755,122,50
1500000US130670311084,130670000000,Block Group 4 Census Tract 311.08 Cobb County Georgia,443,196,0,0,0,0,0,0,0,32,32,0,32,32,0,0,164,164,0,164,143,21,0,247,220,0,220,220,0,27
1500000US130670311101,130670000000,Block Group 1 Census Tract 311.10 Cobb County Georgia,814,379,85,71,0,71,71,0,14,100,59,0,59,59,0,41,194,158,0,158,158,0,36,435,370,0,370,347,23,65
1500000US130670311102,130670000000,Block Group 2 Census Tract 311.10 Cobb County Georgia,476,97,50,42,0,42,32,10,8,0,0,0,0,0,0,0,47,47,0,47,47,0,0,379,300,0,300,290,10,79
1500000US130670311111,130670000000,Block Group 1 Census Tract 311.11 Cobb County Georgia,959,207,117,102,0,102,96,6,15,20,20,0,20,20,0,0,70,58,0,58,46,12,12,752,695,0,695,695,0,57
1500000US130670311112,130670000000,Block Group 2 Census Tract 311.11 Cobb County Georgia,466,98,25,15,0,15,15,0,10,14,0,0,0,0,0,14,59,59,0,59,59,0,0,368,283,0,283,272,11,85
1500000US130670311121,130670000000,Block Group 1 Census Tract 311.12 Cobb County Georgia,325,85,39,39,0,39,39,0,0,0,0,0,0,0,0,0,46,46,0,46,46,0,0,240,240,0,240,219,21,0
1500000US130670311122,130670000000,Block Group 2 Census Tract 311.12 Cobb County Georgia,880,352,74,74,0,74,74,0,0,65,14,0,14,14,0,51,213,98,0,98,98,0,115,528,391,0,391,315,76,137
1500000US130670311123,130670000000,Block Group 3 Census Tract 311.12 Cobb County Georgia,792,329,221,212,0,212,212,0,9,36,26,0,26,26,0,10,72,72,0,72,72,0,0,463,309,0,309,309,0,154
1500000US130670311131,130670000000,Block Group 1 Census Tract 311.13 Cobb County Georgia,299,50,23,0,0,0,0,0,23,3,3,0,3,3,0,0,24,21,0,21,15,6,3,249,196,0,196,196,0,53
1500000US130670311141,130670000000,Block Group 1 Census Tract 311.14 Cobb County Georgia,1297,332,128,58,0,58,58,0,70,69,0,0,0,0,0,69,135,135,0,135,111,24,0,965,843,0,843,792,51,122
1500000US130670311142,130670000000,Block Group 2 Census Tract 311.14 Cobb County Georgia,823,89,89,14,0,14,14,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734,589,0,589,519,70,145
1500000US130670311143,130670000000,Block Group 3 Census Tract 311.14 Cobb County Georgia,642,122,84,84,0,84,72,12,0,0,0,0,0,0,0,0,38,20,0,20,20,0,18,520,421,0,421,405,16,99
1500000US130670311144,130670000000,Block Group 4 Census Tract 311.14 Cobb County Georgia,274,105,61,61,0,61,61,0,0,0,0,0,0,0,0,0,44,44,0,44,44,0,0,169,169,0,169,111,58,0
1500000US130670311151,130670000000,Block Group 1 Census Tract 311.15 Cobb County Georgia,440,256,14,14,0,14,14,0,0,156,89,0,89,89,0,67,86,69,0,69,63,6,17,184,128,0,128,128,0,56
1500000US130670311152,130670000000,Block Group 2 Census Tract 311.15 Cobb County Georgia,1002,305,47,40,0,40,40,0,7,155,150,0,150,150,0,5,103,78,0,78,73,5,25,697,498,0,498,469,29,199
1500000US130670311161,130670000000,Block Group 1 Census Tract 311.16 Cobb County Georgia,1031,604,109,12,0,12,0,12,97,72,0,0,0,0,0,72,423,350,0,350,253,97,73,427,378,0,378,337,41,49
1500000US130670311162,130670000000,Block Group 2 Census Tract 311.16 Cobb County Georgia,361,83,16,10,0,10,10,0,6,8,8,0,8,8,0,0,59,9,0,9,9,0,50,278,207,0,207,180,27,71
1500000US130670311163,130670000000,Block Group 3 Census Tract 311.16 Cobb County Georgia,129,67,67,67,0,67,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,62,0,62,41,21,0
1500000US130670311171,130670000000,Block Group 1 Census Tract 311.17 Cobb County Georgia,737,311,112,95,0,95,95,0,17,69,42,0,42,42,0,27,130,100,0,100,78,22,30,426,356,0,356,356,0,70
1500000US130670311172,130670000000,Block Group 2 Census Tract 311.17 Cobb County Georgia,564,168,56,56,0,56,56,0,0,35,6,0,6,6,0,29,77,10,0,10,10,0,67,396,296,0,296,296,0,100
1500000US130670311173,130670000000,Block Group 3 Census Tract 311.17 Cobb County Georgia,191,49,15,15,0,15,15,0,0,0,0,0,0,0,0,0,34,34,0,34,29,5,0,142,114,0,114,114,0,28
1500000US130670311181,130670000000,Block Group 1 Census Tract 311.18 Cobb County Georgia,319,119,22,22,0,22,22,0,0,42,12,0,12,12,0,30,55,37,0,37,37,0,18,200,190,0,190,137,53,10
1500000US130670311182,130670000000,Block Group 2 Census Tract 311.18 Cobb County Georgia,612,355,147,147,0,147,147,0,0,32,15,0,15,15,0,17,176,59,0,59,27,32,117,257,112,0,112,112,0,145
1500000US130670311183,130670000000,Block Group 3 Census Tract 311.18 Cobb County Georgia,852,220,46,27,0,27,27,0,19,60,45,0,45,45,0,15,114,102,0,102,83,19,12,632,578,0,578,535,43,54
1500000US130670312051,130670000000,Block Group 1 Census Tract 312.05 Cobb County Georgia,794,151,55,35,0,35,23,12,20,59,21,0,21,21,0,38,37,37,0,37,0,37,0,643,577,0,577,524,53,66
1500000US130670312052,130670000000,Block Group 2 Census Tract 312.05 Cobb County Georgia,844,72,18,0,0,0,0,0,18,0,0,0,0,0,0,0,54,54,0,54,54,0,0,772,708,0,708,678,30,64
1500000US130670312053,130670000000,Block Group 3 Census Tract 312.05 Cobb County Georgia,756,315,173,163,0,163,110,53,10,43,17,0,17,17,0,26,99,56,0,56,56,0,43,441,363,0,363,325,38,78
1500000US130670312061,130670000000,Block Group 1 Census Tract 312.06 Cobb County Georgia,1739,786,248,159,0,159,159,0,89,330,250,0,250,250,0,80,208,162,0,162,162,0,46,953,795,0,795,630,165,158
1500000US130670312062,130670000000,Block Group 2 Census Tract 312.06 Cobb County Georgia,350,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,166,0,166,166,0,0,184,108,0,108,108,0,76
1500000US130670312063,130670000000,Block Group 3 Census Tract 312.06 Cobb County Georgia,1592,248,41,41,0,41,41,0,0,4,0,0,0,0,0,4,203,107,0,107,107,0,96,1344,1241,0,1241,1126,115,103
1500000US130670312071,130670000000,Block Group 1 Census Tract 312.07 Cobb County Georgia,429,46,0,0,0,0,0,0,0,46,6,0,6,6,0,40,0,0,0,0,0,0,0,383,285,0,285,269,16,98
1500000US130670312072,130670000000,Block Group 2 Census Tract 312.07 Cobb County Georgia,853,28,8,8,0,8,8,0,0,0,0,0,0,0,0,0,20,20,0,20,20,0,0,825,816,0,816,781,35,9
1500000US130670312073,130670000000,Block Group 3 Census Tract 312.07 Cobb County Georgia,244,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,19,19,0,0,225,177,0,177,177,0,48
1500000US130670312081,130670000000,Block Group 1 Census Tract 312.08 Cobb County Georgia,170,37,13,13,0,13,13,0,0,24,0,0,0,0,0,24,0,0,0,0,0,0,0,133,133,0,133,133,0,0
1500000US130670312082,130670000000,Block Group 2 Census Tract 312.08 Cobb County Georgia,841,201,89,39,0,39,39,0,50,0,0,0,0,0,0,0,112,33,0,33,33,0,79,640,395,0,395,325,70,245
1500000US130670312083,130670000000,Block Group 3 Census Tract 312.08 Cobb County Georgia,1581,486,210,110,0,110,77,33,100,58,58,0,58,58,0,0,218,218,0,218,187,31,0,1095,798,0,798,729,69,297
