GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21
Id,Id2,Geography,Estimate; Total:,Estimate; In households:,Estimate; In households: - In family households:,Estimate; In households: - In family households: - Householder:,Estimate; In households: - In family households: - Householder: - Male,Estimate; In households: - In family households: - Householder: - Female,Estimate; In households: - In family households: - Spouse,Estimate; In households: - In family households: - Parent,Estimate; In households: - In family households: - Parent-in-law,Estimate; In households: - In family households: - Other relatives,Estimate; In households: - In family households: - Nonrelatives,Estimate; In households: - In nonfamily households:,Estimate; In households: - In nonfamily households: - Householder:,Estimate; In households: - In nonfamily households: - Householder: - Male:,Estimate; In households: - In nonfamily households: - Householder: - Male: - Living alone,Estimate; In households: - In nonfamily households: - Householder: - Male: - Not living alone,Estimate; In households: - In nonfamily households: - Householder: - Female:,Estimate; In households: - In nonfamily households: - Householder: - Female: - Living alone,Estimate; In households: - In nonfamily households: - Householder: - Female: - Not living alone,Estimate; In households: - In nonfamily households: - Nonrelatives,Estimate; In group quarters
1500000US130670311142,1.31E+11,Block Group 2 Census Tract 311.14 Cobb County Georgia,61,61,30,15,15,0,15,0,0,0,0,31,31,0,0,0,31,31,0,0,0
1500000US130670311143,1.31E+11,Block Group 3 Census Tract 311.14 Cobb County Georgia,69,69,0,0,0,0,0,0,0,0,0,69,41,0,0,0,41,18,23,28,0
1500000US130670311144,1.31E+11,Block Group 4 Census Tract 311.14 Cobb County Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US130670311151,1.31E+11,Block Group 1 Census Tract 311.15 Cobb County Georgia,173,173,122,44,22,22,44,34,0,0,0,51,51,5,5,0,46,46,0,0,0
1500000US130670311152,1.31E+11,Block Group 2 Census Tract 311.15 Cobb County Georgia,314,314,231,37,18,19,25,169,0,0,0,83,74,19,10,9,55,55,0,9,0
1500000US130670311161,1.31E+11,Block Group 1 Census Tract 311.16 Cobb County Georgia,160,160,29,8,8,0,21,0,0,0,0,131,94,37,0,37,57,57,0,37,0
1500000US130670311162,1.31E+11,Block Group 2 Census Tract 311.16 Cobb County Georgia,146,146,129,72,16,56,13,44,0,0,0,17,17,0,0,0,17,17,0,0,0
1500000US130670311163,1.31E+11,Block Group 3 Census Tract 311.16 Cobb County Georgia,48,47,34,34,34,0,0,0,0,0,0,13,13,0,0,0,13,13,0,0,1
1500000US130670311171,1.31E+11,Block Group 1 Census Tract 311.17 Cobb County Georgia,103,103,85,48,48,0,37,0,0,0,0,18,18,9,9,0,9,9,0,0,0
1500000US130670311172,1.31E+11,Block Group 2 Census Tract 311.17 Cobb County Georgia,378,377,288,150,127,23,138,0,0,0,0,89,89,0,0,0,89,89,0,0,1
1500000US130670311173,1.31E+11,Block Group 3 Census Tract 311.17 Cobb County Georgia,240,240,180,86,47,39,58,36,0,0,0,60,60,15,15,0,45,45,0,0,0
1500000US130670311181,1.31E+11,Block Group 1 Census Tract 311.18 Cobb County Georgia,143,143,60,47,28,19,13,0,0,0,0,83,83,53,53,0,30,30,0,0,0
1500000US130670311182,1.31E+11,Block Group 2 Census Tract 311.18 Cobb County Georgia,492,388,248,79,71,8,57,0,112,0,0,140,140,45,45,0,95,95,0,0,104
1500000US130670311183,1.31E+11,Block Group 3 Census Tract 311.18 Cobb County Georgia,218,218,68,30,0,30,16,22,0,0,0,150,150,13,13,0,137,137,0,0,0
1500000US130670312051,1.31E+11,Block Group 1 Census Tract 312.05 Cobb County Georgia,136,136,32,11,11,0,9,0,0,12,0,104,91,13,0,13,78,78,0,13,0
1500000US130670312052,1.31E+11,Block Group 2 Census Tract 312.05 Cobb County Georgia,112,112,74,49,37,12,25,0,0,0,0,38,38,12,12,0,26,26,0,0,0
1500000US130670312053,1.31E+11,Block Group 3 Census Tract 312.05 Cobb County Georgia,269,264,139,76,65,11,63,0,0,0,0,125,125,51,51,0,74,74,0,0,5
1500000US130670312061,1.31E+11,Block Group 1 Census Tract 312.06 Cobb County Georgia,415,415,193,87,87,0,87,19,0,0,0,222,222,120,120,0,102,102,0,0,0
1500000US130670312062,1.31E+11,Block Group 2 Census Tract 312.06 Cobb County Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US130670312063,1.31E+11,Block Group 3 Census Tract 312.06 Cobb County Georgia,243,243,93,62,62,0,31,0,0,0,0,150,150,0,0,0,150,150,0,0,0
1500000US130670312071,1.31E+11,Block Group 1 Census Tract 312.07 Cobb County Georgia,128,128,85,45,0,45,17,23,0,0,0,43,43,43,43,0,0,0,0,0,0
1500000US130670312072,1.31E+11,Block Group 2 Census Tract 312.07 Cobb County Georgia,22,22,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,0,0
1500000US130670312073,1.31E+11,Block Group 3 Census Tract 312.07 Cobb County Georgia,147,147,147,81,55,26,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US130670312081,1.31E+11,Block Group 1 Census Tract 312.08 Cobb County Georgia,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US130670312082,1.31E+11,Block Group 2 Census Tract 312.08 Cobb County Georgia,166,166,119,66,66,0,31,0,0,22,0,47,47,32,32,0,15,15,0,0,0
1500000US130670312083,1.31E+11,Block Group 3 Census Tract 312.08 Cobb County Georgia,114,114,67,33,23,10,34,0,0,0,0,47,47,47,47,0,0,0,0,0,0
1500000US130670312091,1.31E+11,Block Group 1 Census Tract 312.09 Cobb County Georgia,450,450,408,197,152,45,129,60,0,22,0,42,42,0,0,0,42,42,0,0,0
1500000US130670312092,1.31E+11,Block Group 2 Census Tract 312.09 Cobb County Georgia,106,106,86,39,14,25,31,16,0,0,0,20,20,0,0,0,20,20,0,0,0
1500000US130670312111,1.31E+11,Block Group 1 Census Tract 312.11 Cobb County Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US130670312112,1.31E+11,Block Group 2 Census Tract 312.11 Cobb County Georgia,185,185,52,36,36,0,16,0,0,0,0,133,133,0,0,0,133,133,0,0,0
1500000US130670312113,1.31E+11,Block Group 3 Census Tract 312.11 Cobb County Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US130670312121,1.31E+11,Block Group 1 Census Tract 312.12 Cobb County Georgia,599,599,512,243,186,57,261,3,0,0,5,87,83,0,0,0,83,74,9,4,0
1500000US130670313061,1.31E+11,Block Group 1 Census Tract 313.06 Cobb County Georgia,248,248,220,170,80,90,41,0,0,9,0,28,28,10,10,0,18,18,0,0,0
1500000US130670313062,1.31E+11,Block Group 2 Census Tract 313.06 Cobb County Georgia,209,209,157,86,35,51,55,16,0,0,0,52,43,5,5,0,38,30,8,9,0
1500000US130670313071,1.31E+11,Block Group 1 Census Tract 313.07 Cobb County Georgia,126,126,78,47,31,16,31,0,0,0,0,48,48,30,30,0,18,18,0,0,0
1500000US130670313072,1.31E+11,Block Group 2 Census Tract 313.07 Cobb County Georgia,216,216,159,53,34,19,70,36,0,0,0,57,57,27,27,0,30,30,0,0,0
1500000US130670313073,1.31E+11,Block Group 3 Census Tract 313.07 Cobb County Georgia,394,394,345,166,137,29,128,51,0,0,0,49,49,26,26,0,23,23,0,0,0
1500000US130670313081,1.31E+11,Block Group 1 Census Tract 313.08 Cobb County Georgia,121,119,48,30,20,10,18,0,0,0,0,71,71,13,13,0,58,58,0,0,2
1500000US130670313082,1.31E+11,Block Group 2 Census Tract 313.08 Cobb County Georgia,156,156,102,67,21,46,35,0,0,0,0,54,54,36,36,0,18,18,0,0,0
1500000US130670313083,1.31E+11,Block Group 3 Census Tract 313.08 Cobb County Georgia,186,186,124,77,33,44,47,0,0,0,0,62,62,25,25,0,37,37,0,0,0
