GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21,HD01_VD22,HD01_VD23,HD01_VD24,HD01_VD25,HD01_VD26,HD01_VD27
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - Under 6 years:,Estimate; Total: - Under 6 years: - Living with two parents:,Estimate; Total: - Under 6 years: - Living with two parents: - Both parents in labor force,Estimate; Total: - Under 6 years: - Living with two parents: - Father only in labor force,Estimate; Total: - Under 6 years: - Living with two parents: - Mother only in labor force,Estimate; Total: - Under 6 years: - Living with two parents: - Neither parent in labor force,Estimate; Total: - Under 6 years: - Living with one parent:,Estimate; Total: - Under 6 years: - Living with one parent: - Living with father:,Estimate; Total: - Under 6 years: - Living with one parent: - Living with father: - In labor force,Estimate; Total: - Under 6 years: - Living with one parent: - Living with father: - Not in labor force,Estimate; Total: - Under 6 years: - Living with one parent: - Living with mother:,Estimate; Total: - Under 6 years: - Living with one parent: - Living with mother: - In labor force,Estimate; Total: - Under 6 years: - Living with one parent: - Living with mother: - Not in labor force,Estimate; Total: - 6 to 17 years:,Estimate; Total: - 6 to 17 years: - Living with two parents:,Estimate; Total: - 6 to 17 years: - Living with two parents: - Both parents in labor force,Estimate; Total: - 6 to 17 years: - Living with two parents: - Father only in labor force,Estimate; Total: - 6 to 17 years: - Living with two parents: - Mother only in labor force,Estimate; Total: - 6 to 17 years: - Living with two parents: - Neither parent in labor force,Estimate; Total: - 6 to 17 years: - Living with one parent:,Estimate; Total: - 6 to 17 years: - Living with one parent: - Living with father:,Estimate; Total: - 6 to 17 years: - Living with one parent: - Living with father: - In labor force,Estimate; Total: - 6 to 17 years: - Living with one parent: - Living with father: - Not in labor force,Estimate; Total: - 6 to 17 years: - Living with one parent: - Living with mother:,Estimate; Total: - 6 to 17 years: - Living with one parent: - Living with mother: - In labor force,Estimate; Total: - 6 to 17 years: - Living with one parent: - Living with mother: - Not in labor force
1500000US130630404151,130630000000,Block Group 1 Census Tract 404.15 Clayton County Georgia,241,23,23,23,0,0,0,0,0,0,0,0,0,0,218,218,90,128,0,0,0,0,0,0,0,0,0
1500000US130630404152,130630000000,Block Group 2 Census Tract 404.15 Clayton County Georgia,393,123,0,0,0,0,0,123,0,0,0,123,123,0,270,96,96,0,0,0,174,16,0,16,158,158,0
1500000US130630404153,130630000000,Block Group 3 Census Tract 404.15 Clayton County Georgia,110,16,0,0,0,0,0,16,0,0,0,16,16,0,94,0,0,0,0,0,94,0,0,0,94,94,0
1500000US130630404154,130630000000,Block Group 4 Census Tract 404.15 Clayton County Georgia,803,255,209,119,90,0,0,46,0,0,0,46,0,46,548,454,454,0,0,0,94,0,0,0,94,0,94
1500000US130630404161,130630000000,Block Group 1 Census Tract 404.16 Clayton County Georgia,564,197,24,24,0,0,0,173,0,0,0,173,114,59,367,75,36,0,0,39,292,0,0,0,292,161,131
1500000US130630404162,130630000000,Block Group 2 Census Tract 404.16 Clayton County Georgia,381,68,40,0,40,0,0,28,0,0,0,28,21,7,313,170,138,32,0,0,143,0,0,0,143,112,31
1500000US130630404171,130630000000,Block Group 1 Census Tract 404.17 Clayton County Georgia,750,437,31,31,0,0,0,406,63,5,58,343,304,39,313,117,47,70,0,0,196,0,0,0,196,126,70
1500000US130630404172,130630000000,Block Group 2 Census Tract 404.17 Clayton County Georgia,176,55,55,24,31,0,0,0,0,0,0,0,0,0,121,109,0,109,0,0,12,0,0,0,12,12,0
1500000US130630404173,130630000000,Block Group 3 Census Tract 404.17 Clayton County Georgia,460,82,19,0,19,0,0,63,10,10,0,53,53,0,378,47,11,36,0,0,331,18,0,18,313,288,25
1500000US130630405091,130630000000,Block Group 1 Census Tract 405.09 Clayton County Georgia,359,121,61,61,0,0,0,60,0,0,0,60,60,0,238,111,99,12,0,0,127,77,77,0,50,50,0
1500000US130630405092,130630000000,Block Group 2 Census Tract 405.09 Clayton County Georgia,796,319,170,95,75,0,0,149,13,13,0,136,125,11,477,316,242,74,0,0,161,27,27,0,134,130,4
1500000US130630405101,130630000000,Block Group 1 Census Tract 405.10 Clayton County Georgia,599,146,96,29,67,0,0,50,9,9,0,41,41,0,453,307,161,145,1,0,146,9,0,9,137,137,0
1500000US130630405102,130630000000,Block Group 2 Census Tract 405.10 Clayton County Georgia,348,126,21,21,0,0,0,105,26,0,26,79,79,0,222,10,10,0,0,0,212,116,0,116,96,85,11
1500000US130630405121,130630000000,Block Group 1 Census Tract 405.12 Clayton County Georgia,632,240,189,55,14,120,0,51,0,0,0,51,51,0,392,229,122,47,60,0,163,39,39,0,124,124,0
1500000US130630405122,130630000000,Block Group 2 Census Tract 405.12 Clayton County Georgia,91,26,0,0,0,0,0,26,0,0,0,26,26,0,65,55,45,0,10,0,10,0,0,0,10,10,0
1500000US130630405123,130630000000,Block Group 3 Census Tract 405.12 Clayton County Georgia,427,96,20,11,0,9,0,76,76,76,0,0,0,0,331,99,79,0,20,0,232,98,98,0,134,109,25
1500000US130630405131,130630000000,Block Group 1 Census Tract 405.13 Clayton County Georgia,210,20,0,0,0,0,0,20,0,0,0,20,20,0,190,105,105,0,0,0,85,80,80,0,5,5,0
1500000US130630405132,130630000000,Block Group 2 Census Tract 405.13 Clayton County Georgia,91,0,0,0,0,0,0,0,0,0,0,0,0,0,91,83,62,21,0,0,8,0,0,0,8,8,0
1500000US130630405133,130630000000,Block Group 3 Census Tract 405.13 Clayton County Georgia,411,78,78,33,0,45,0,0,0,0,0,0,0,0,333,214,189,0,25,0,119,34,19,15,85,55,30
1500000US130630405141,130630000000,Block Group 1 Census Tract 405.14 Clayton County Georgia,236,60,9,9,0,0,0,51,0,0,0,51,51,0,176,137,137,0,0,0,39,0,0,0,39,39,0
1500000US130630405142,130630000000,Block Group 2 Census Tract 405.14 Clayton County Georgia,721,343,194,125,69,0,0,149,110,110,0,39,39,0,378,341,182,159,0,0,37,22,22,0,15,15,0
1500000US130630405143,130630000000,Block Group 3 Census Tract 405.14 Clayton County Georgia,1043,522,88,46,42,0,0,434,242,72,170,192,84,108,521,240,240,0,0,0,281,0,0,0,281,217,64
1500000US130630405151,130630000000,Block Group 1 Census Tract 405.15 Clayton County Georgia,135,109,109,44,65,0,0,0,0,0,0,0,0,0,26,26,0,26,0,0,0,0,0,0,0,0,0
1500000US130630405152,130630000000,Block Group 2 Census Tract 405.15 Clayton County Georgia,720,265,205,205,0,0,0,60,0,0,0,60,60,0,455,260,42,218,0,0,195,0,0,0,195,195,0
1500000US130630405153,130630000000,Block Group 3 Census Tract 405.15 Clayton County Georgia,591,167,80,44,36,0,0,87,87,87,0,0,0,0,424,195,66,129,0,0,229,32,32,0,197,197,0
1500000US130630405154,130630000000,Block Group 4 Census Tract 405.15 Clayton County Georgia,718,318,0,0,0,0,0,318,67,67,0,251,251,0,400,73,73,0,0,0,327,0,0,0,327,313,14
1500000US130630405161,130630000000,Block Group 1 Census Tract 405.16 Clayton County Georgia,1022,334,61,61,0,0,0,273,0,0,0,273,273,0,688,366,267,99,0,0,322,79,60,19,243,243,0
1500000US130630405162,130630000000,Block Group 2 Census Tract 405.16 Clayton County Georgia,429,255,0,0,0,0,0,255,0,0,0,255,0,255,174,104,104,0,0,0,70,31,0,31,39,39,0
1500000US130630405163,130630000000,Block Group 3 Census Tract 405.16 Clayton County Georgia,517,335,184,184,0,0,0,151,0,0,0,151,114,37,182,109,81,0,28,0,73,0,0,0,73,54,19
1500000US130630405181,130630000000,Block Group 1 Census Tract 405.18 Clayton County Georgia,250,94,19,0,19,0,0,75,0,0,0,75,38,37,156,44,6,38,0,0,112,0,0,0,112,43,69
1500000US130630405182,130630000000,Block Group 2 Census Tract 405.18 Clayton County Georgia,961,292,56,26,0,5,25,236,0,0,0,236,146,90,669,342,147,104,40,51,327,19,19,0,308,235,73
1500000US130630405183,130630000000,Block Group 3 Census Tract 405.18 Clayton County Georgia,362,180,107,55,52,0,0,73,12,0,12,61,53,8,182,119,48,71,0,0,63,28,28,0,35,26,9
1500000US130630405191,130630000000,Block Group 1 Census Tract 405.19 Clayton County Georgia,747,431,101,101,0,0,0,330,53,53,0,277,250,27,316,90,90,0,0,0,226,29,29,0,197,138,59
1500000US130630405192,130630000000,Block Group 2 Census Tract 405.19 Clayton County Georgia,301,110,0,0,0,0,0,110,0,0,0,110,110,0,191,47,47,0,0,0,144,9,9,0,135,135,0
1500000US130630405201,130630000000,Block Group 1 Census Tract 405.20 Clayton County Georgia,252,74,13,0,0,13,0,61,5,5,0,56,56,0,178,55,0,0,55,0,123,13,13,0,110,110,0
1500000US130630405202,130630000000,Block Group 2 Census Tract 405.20 Clayton County Georgia,65,7,0,0,0,0,0,7,0,0,0,7,0,7,58,16,0,16,0,0,42,0,0,0,42,35,7
1500000US130630405203,130630000000,Block Group 3 Census Tract 405.20 Clayton County Georgia,408,125,45,28,0,17,0,80,28,28,0,52,38,14,283,119,22,63,34,0,164,14,14,0,150,150,0
1500000US130630405211,130630000000,Block Group 1 Census Tract 405.21 Clayton County Georgia,624,225,114,49,25,40,0,111,42,42,0,69,49,20,399,293,74,103,116,0,106,18,18,0,88,79,9
1500000US130630405212,130630000000,Block Group 2 Census Tract 405.21 Clayton County Georgia,277,29,29,0,29,0,0,0,0,0,0,0,0,0,248,152,39,11,9,93,96,0,0,0,96,96,0
1500000US130630405221,130630000000,Block Group 1 Census Tract 405.22 Clayton County Georgia,376,199,82,0,82,0,0,117,43,43,0,74,74,0,177,54,16,31,7,0,123,19,19,0,104,93,11
1500000US130630405222,130630000000,Block Group 2 Census Tract 405.22 Clayton County Georgia,347,185,58,28,30,0,0,127,18,18,0,109,79,30,162,95,95,0,0,0,67,8,8,0,59,51,8
1500000US130630405223,130630000000,Block Group 3 Census Tract 405.22 Clayton County Georgia,226,22,0,0,0,0,0,22,22,22,0,0,0,0,204,44,44,0,0,0,160,0,0,0,160,160,0
1500000US130630405231,130630000000,Block Group 1 Census Tract 405.23 Clayton County Georgia,1009,343,85,27,58,0,0,258,147,122,25,111,73,38,666,149,102,36,0,11,517,222,128,94,295,295,0
1500000US130630405241,130630000000,Block Group 1 Census Tract 405.24 Clayton County Georgia,419,37,20,20,0,0,0,17,0,0,0,17,17,0,382,118,95,0,23,0,264,21,21,0,243,243,0
1500000US130630405242,130630000000,Block Group 2 Census Tract 405.24 Clayton County Georgia,341,113,17,0,17,0,0,96,15,15,0,81,71,10,228,174,174,0,0,0,54,0,0,0,54,54,0
1500000US130630405243,130630000000,Block Group 3 Census Tract 405.24 Clayton County Georgia,444,154,23,0,23,0,0,131,0,0,0,131,23,108,290,55,31,24,0,0,235,0,0,0,235,126,109
1500000US130630405244,130630000000,Block Group 4 Census Tract 405.24 Clayton County Georgia,703,305,146,14,132,0,0,159,36,36,0,123,123,0,398,206,68,119,0,19,192,41,41,0,151,151,0
