GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18
Id,Id2,Geography,Estimate; Total:,Estimate; Science and Engineering - Computers Mathematics and Statistics,Estimate; Science and Engineering - Biological Agricultural and Environmental Sciences,Estimate; Science and Engineering - Physical and Related Sciences,Estimate; Science and Engineering - Psychology,Estimate; Science and Engineering - Social Sciences,Estimate; Science and Engineering - Engineering,Estimate; Science and Engineering - Multidisciplinary Studies,Estimate; Science and Engineering Related Fields,Estimate; Business,Estimate; Education,Estimate; Arts Humanities and Other - Literature and Languages,Estimate; Arts Humanities and Other - Liberal Arts and History,Estimate; Arts Humanities and Other - Visual and Performing Arts,Estimate; Arts Humanities and Other - Communications,Estimate; Arts Humanities and Other - Other
1500000US130630406123,130630000000,Block Group 3 Census Tract 406.12 Clayton County Georgia,136,7,0,0,8,8,0,19,6,21,14,5,5,11,0,32
1500000US130630406131,130630000000,Block Group 1 Census Tract 406.13 Clayton County Georgia,414,73,0,0,15,38,0,0,0,52,157,0,8,0,23,48
1500000US130630406132,130630000000,Block Group 2 Census Tract 406.13 Clayton County Georgia,212,0,17,24,28,13,0,0,28,20,11,0,22,12,37,0
1500000US130630406133,130630000000,Block Group 3 Census Tract 406.13 Clayton County Georgia,1171,86,56,24,80,136,0,0,27,265,103,160,54,99,40,41
1500000US130630406141,130630000000,Block Group 1 Census Tract 406.14 Clayton County Georgia,364,32,0,0,0,46,0,0,50,112,32,0,7,66,19,0
1500000US130630406142,130630000000,Block Group 2 Census Tract 406.14 Clayton County Georgia,583,15,42,35,23,60,40,0,61,96,84,5,40,0,0,82
1500000US130630406143,130630000000,Block Group 3 Census Tract 406.14 Clayton County Georgia,181,0,0,7,41,13,10,7,20,33,33,7,10,0,0,0
1500000US130630406151,130630000000,Block Group 1 Census Tract 406.15 Clayton County Georgia,207,19,0,0,15,7,14,0,10,39,25,0,7,0,58,13
1500000US130630406161,130630000000,Block Group 1 Census Tract 406.16 Clayton County Georgia,773,89,53,0,114,22,0,0,0,320,90,0,0,0,0,85
1500000US130630406162,130630000000,Block Group 2 Census Tract 406.16 Clayton County Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US130630406163,130630000000,Block Group 3 Census Tract 406.16 Clayton County Georgia,369,62,28,0,0,0,0,0,17,179,0,0,6,0,0,77
1500000US130630406171,130630000000,Block Group 1 Census Tract 406.17 Clayton County Georgia,9,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0
1500000US130630406191,130630000000,Block Group 1 Census Tract 406.19 Clayton County Georgia,481,11,0,8,22,9,0,12,54,82,189,0,27,27,25,15
1500000US130630406201,130630000000,Block Group 1 Census Tract 406.20 Clayton County Georgia,354,16,28,0,19,26,21,0,80,92,22,0,11,0,9,30
1500000US130630406211,130630000000,Block Group 1 Census Tract 406.21 Clayton County Georgia,967,23,0,0,33,66,27,10,145,310,112,0,9,10,32,190
1500000US130630406212,130630000000,Block Group 2 Census Tract 406.21 Clayton County Georgia,740,36,78,0,22,83,0,0,59,175,9,67,47,0,86,78
1500000US130630406221,130630000000,Block Group 1 Census Tract 406.22 Clayton County Georgia,409,34,0,0,0,57,0,0,0,72,13,0,0,21,151,61
1500000US130630406222,130630000000,Block Group 2 Census Tract 406.22 Clayton County Georgia,431,0,10,0,9,42,12,0,41,39,156,0,0,96,26,0
1500000US130630406223,130630000000,Block Group 3 Census Tract 406.22 Clayton County Georgia,270,0,0,0,18,19,0,0,20,108,18,0,30,0,20,37
1500000US130639800001,130640000000,Block Group 1 Census Tract 9800 Clayton County Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US130670301011,130670000000,Block Group 1 Census Tract 301.01 Cobb County Georgia,163,0,0,4,10,12,0,0,21,79,17,0,10,0,0,10
1500000US130670301012,130670000000,Block Group 2 Census Tract 301.01 Cobb County Georgia,324,0,13,25,12,0,78,0,31,65,61,0,0,16,0,23
1500000US130670301013,130670000000,Block Group 3 Census Tract 301.01 Cobb County Georgia,549,0,69,10,18,18,63,0,47,117,88,56,14,20,20,9
1500000US130670301014,130670000000,Block Group 4 Census Tract 301.01 Cobb County Georgia,355,20,14,33,23,0,25,0,75,25,110,30,0,0,0,0
1500000US130670301031,130670000000,Block Group 1 Census Tract 301.03 Cobb County Georgia,366,12,27,0,21,35,16,12,64,61,33,0,0,0,58,27
1500000US130670301032,130670000000,Block Group 2 Census Tract 301.03 Cobb County Georgia,703,81,36,19,0,0,62,0,214,139,35,18,0,0,64,35
1500000US130670301033,130670000000,Block Group 3 Census Tract 301.03 Cobb County Georgia,1513,130,95,44,126,62,207,0,56,453,95,98,0,11,23,113
1500000US130670301041,130670000000,Block Group 1 Census Tract 301.04 Cobb County Georgia,192,0,0,12,11,0,0,0,40,8,81,0,0,14,18,8
1500000US130670301042,130670000000,Block Group 2 Census Tract 301.04 Cobb County Georgia,526,26,0,0,35,0,79,0,74,118,53,60,16,0,17,48
1500000US130670301061,130670000000,Block Group 1 Census Tract 301.06 Cobb County Georgia,192,0,0,0,0,38,0,0,0,108,12,13,0,21,0,0
