GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21,HD01_VD22,HD01_VD23,HD01_VD24,HD01_VD25,HD01_VD26,HD01_VD27,HD01_VD29,HD01_VD30,HD01_VD31,HD01_VD32,HD01_VD33,HD01_VD34,HD01_VD35,HD01_VD36,HD01_VD37,HD01_VD38,HD01_VD39,HD01_VD40,HD01_VD41,HD01_VD42,HD01_VD43,HD01_VD44,HD01_VD45,HD01_VD46,HD01_VD47,HD01_VD48,HD01_VD49,HD01_VD50,HD01_VD51
1500000US131210013003,131210000000,Block Group 3 Census Tract 13 Fulton County Georgia,991,665,462,426,280,29,4,32,31,50,32,0,0,0,0,4,28,4,0,0,0,0,0,4,203,326,273,202,192,10,0,0,0,0,57,13,0,0,0,0,44,14,0,0,0,0,0,14,53
1500000US131210014001,131210000000,Block Group 1 Census Tract 14 Fulton County Georgia,1195,759,740,680,656,7,0,17,0,0,52,12,0,0,9,0,31,8,8,0,0,0,0,0,19,436,345,302,255,26,9,8,0,4,28,7,0,6,15,0,0,15,7,0,0,0,0,8,91
1500000US131210014002,131210000000,Block Group 2 Census Tract 14 Fulton County Georgia,640,330,321,304,238,8,32,17,9,0,17,0,0,0,0,0,17,0,0,0,0,0,0,0,9,310,254,159,112,0,38,9,0,0,80,40,14,0,9,17,0,15,0,0,0,0,7,8,56
1500000US131210015001,131210000000,Block Group 1 Census Tract 15 Fulton County Georgia,790,358,343,311,283,0,14,14,0,0,22,0,0,10,0,12,0,10,10,0,0,0,0,0,15,432,432,372,301,25,0,46,0,0,48,26,0,10,12,0,0,12,0,0,0,0,0,12,0
1500000US131210015002,131210000000,Block Group 2 Census Tract 15 Fulton County Georgia,1047,499,454,370,370,0,0,0,0,0,84,64,0,20,0,0,0,0,0,0,0,0,0,0,45,548,469,309,228,0,55,26,0,0,120,76,0,0,0,44,0,40,0,0,11,23,0,6,79
1500000US131210015003,131210000000,Block Group 3 Census Tract 15 Fulton County Georgia,783,291,291,270,259,11,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,21,0,492,492,435,416,0,19,0,0,0,57,34,10,13,0,0,0,0,0,0,0,0,0,0,0
1500000US131210015004,131210000000,Block Group 4 Census Tract 15 Fulton County Georgia,915,392,305,278,223,13,0,2,20,20,23,17,2,0,2,2,0,4,0,0,0,0,0,4,87,523,423,342,253,0,0,29,16,44,51,30,0,0,0,0,21,30,0,0,0,0,0,30,100
1500000US131210016001,131210000000,Block Group 1 Census Tract 16 Fulton County Georgia,1945,1091,867,796,739,23,11,23,0,0,45,31,0,0,0,0,14,26,0,0,0,0,18,8,224,854,762,549,506,0,9,0,20,14,192,158,9,0,7,10,8,21,0,0,0,9,0,12,92
1500000US131210017001,131210000000,Block Group 1 Census Tract 17 Fulton County Georgia,1783,855,732,584,449,46,20,37,26,6,139,75,0,0,15,0,49,9,0,0,0,0,0,9,123,928,692,557,521,0,19,0,0,17,101,36,0,28,27,10,0,34,0,0,26,0,0,8,236
1500000US131210017002,131210000000,Block Group 2 Census Tract 17 Fulton County Georgia,784,402,373,280,231,0,43,0,6,0,93,38,0,0,32,0,23,0,0,0,0,0,0,0,29,382,276,163,105,0,0,39,19,0,96,25,0,8,0,63,0,17,0,0,0,0,0,17,106
1500000US131210018001,131210000000,Block Group 1 Census Tract 18 Fulton County Georgia,1761,842,746,659,445,46,66,26,12,64,87,87,0,0,0,0,0,0,0,0,0,0,0,0,96,919,754,648,486,0,11,38,57,56,44,16,0,17,11,0,0,62,0,0,0,0,30,32,165
1500000US131210018002,131210000000,Block Group 2 Census Tract 18 Fulton County Georgia,450,223,110,110,86,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,227,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214
