GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19
Id,Id2,Geography,Estimate; Total:,Estimate; Male:,Estimate; Male: - Never married,Estimate; Male: - Now married:,Estimate; Male: - Now married: - Married spouse present,Estimate; Male: - Now married: - Married spouse absent:,Estimate; Male: - Now married: - Married spouse absent: - Separated,Estimate; Male: - Now married: - Married spouse absent: - Other,Estimate; Male: - Widowed,Estimate; Male: - Divorced,Estimate; Female:,Estimate; Female: - Never married,Estimate; Female: - Now married:,Estimate; Female: - Now married: - Married spouse present,Estimate; Female: - Now married: - Married spouse absent:,Estimate; Female: - Now married: - Married spouse absent: - Separated,Estimate; Female: - Now married: - Married spouse absent: - Other,Estimate; Female: - Widowed,Estimate; Female: - Divorced
1500000US131210105132,1.31E+11,Block Group 2 Census Tract 105.13 Fulton County Georgia,2059,707,337,218,202,16,16,0,24,128,1352,727,383,200,183,77,106,19,223
1500000US131210105133,1.31E+11,Block Group 3 Census Tract 105.13 Fulton County Georgia,4020,1882,944,605,569,36,36,0,27,306,2138,1057,591,549,42,42,0,166,324
1500000US131210105141,1.31E+11,Block Group 1 Census Tract 105.14 Fulton County Georgia,3720,1558,623,858,681,177,91,86,17,60,2162,1070,659,650,9,0,9,211,222
1500000US131210105142,1.31E+11,Block Group 2 Census Tract 105.14 Fulton County Georgia,3351,1556,662,774,715,59,35,24,23,97,1795,702,754,712,42,29,13,29,310
1500000US131210105143,1.31E+11,Block Group 3 Census Tract 105.14 Fulton County Georgia,2316,773,213,417,417,0,0,0,90,53,1543,866,442,408,34,32,2,9,226
1500000US131210105151,1.31E+11,Block Group 1 Census Tract 105.15 Fulton County Georgia,3740,1303,694,496,404,92,14,78,19,94,2437,973,621,393,228,163,65,462,381
1500000US131210105161,1.31E+11,Block Group 1 Census Tract 105.16 Fulton County Georgia,2119,872,346,511,327,184,19,165,5,10,1247,588,384,321,63,2,61,115,160
1500000US131210105162,1.31E+11,Block Group 2 Census Tract 105.16 Fulton County Georgia,2911,1246,439,548,481,67,0,67,0,259,1665,732,656,491,165,98,67,56,221
1500000US131210105163,1.31E+11,Block Group 3 Census Tract 105.16 Fulton County Georgia,1509,619,373,160,71,89,89,0,0,86,890,575,94,74,20,0,20,63,158
1500000US131210106011,1.31E+11,Block Group 1 Census Tract 106.01 Fulton County Georgia,1002,505,287,147,132,15,15,0,0,71,497,219,128,111,17,10,7,53,97
1500000US131210106012,1.31E+11,Block Group 2 Census Tract 106.01 Fulton County Georgia,500,163,93,19,0,19,0,19,14,37,337,234,0,0,0,0,0,35,68
1500000US131210106013,1.31E+11,Block Group 3 Census Tract 106.01 Fulton County Georgia,437,163,90,65,36,29,29,0,0,8,274,105,90,35,55,55,0,29,50
1500000US131210106014,1.31E+11,Block Group 4 Census Tract 106.01 Fulton County Georgia,573,274,132,113,64,49,14,35,0,29,299,116,90,69,21,8,13,18,75
1500000US131210106031,1.31E+11,Block Group 1 Census Tract 106.03 Fulton County Georgia,585,196,143,9,9,0,0,0,7,37,389,315,51,10,41,36,5,8,15
1500000US131210106032,1.31E+11,Block Group 2 Census Tract 106.03 Fulton County Georgia,1716,829,384,376,219,157,73,84,9,60,887,454,269,222,47,30,17,60,104
1500000US131210106033,1.31E+11,Block Group 3 Census Tract 106.03 Fulton County Georgia,464,211,147,64,64,0,0,0,0,0,253,158,84,62,22,22,0,0,11
1500000US131210106041,1.31E+11,Block Group 1 Census Tract 106.04 Fulton County Georgia,589,324,194,62,25,37,24,13,0,68,265,177,36,24,12,0,12,0,52
1500000US131210106042,1.31E+11,Block Group 2 Census Tract 106.04 Fulton County Georgia,233,126,54,46,16,30,14,16,26,0,107,50,15,15,0,0,0,0,42
1500000US131210106043,1.31E+11,Block Group 3 Census Tract 106.04 Fulton County Georgia,1206,450,197,191,191,0,0,0,0,62,756,416,196,187,9,8,1,81,63
1500000US131210108001,1.31E+11,Block Group 1 Census Tract 108 Fulton County Georgia,325,196,143,53,40,13,13,0,0,0,129,44,40,40,0,0,0,45,0
1500000US131210108002,1.31E+11,Block Group 2 Census Tract 108 Fulton County Georgia,702,347,130,128,128,0,0,0,0,89,355,141,155,123,32,32,0,4,55
1500000US131210108003,1.31E+11,Block Group 3 Census Tract 108 Fulton County Georgia,1453,953,376,256,159,97,51,46,0,321,500,173,205,160,45,26,19,35,87
1500000US131210108004,1.31E+11,Block Group 4 Census Tract 108 Fulton County Georgia,551,237,174,45,45,0,0,0,0,18,314,144,61,42,19,19,0,43,66
1500000US131210108005,1.31E+11,Block Group 5 Census Tract 108 Fulton County Georgia,580,408,200,208,147,61,61,0,0,0,172,3,122,122,0,0,0,0,47
1500000US131210108006,1.31E+11,Block Group 6 Census Tract 108 Fulton County Georgia,1403,742,289,327,183,144,126,18,56,70,661,365,169,169,0,0,0,48,79
1500000US131210110001,1.31E+11,Block Group 1 Census Tract 110 Fulton County Georgia,443,228,89,80,67,13,13,0,11,48,215,66,73,68,5,0,5,28,48
1500000US131210110002,1.31E+11,Block Group 2 Census Tract 110 Fulton County Georgia,686,237,119,70,45,25,0,25,2,46,449,228,103,45,58,34,24,19,99
1500000US131210110003,1.31E+11,Block Group 3 Census Tract 110 Fulton County Georgia,788,377,232,107,48,59,59,0,19,19,411,251,110,47,63,63,0,39,11
1500000US131210110004,1.31E+11,Block Group 4 Census Tract 110 Fulton County Georgia,399,285,260,18,18,0,0,0,0,7,114,42,18,18,0,0,0,25,29
1500000US131210111001,1.31E+11,Block Group 1 Census Tract 111 Fulton County Georgia,638,379,67,247,111,136,8,128,22,43,259,104,105,97,8,0,8,0,50
1500000US131210111002,1.31E+11,Block Group 2 Census Tract 111 Fulton County Georgia,819,487,221,140,91,49,35,14,8,118,332,114,97,74,23,23,0,48,73
