GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Estimate; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Estimate; Total: - Two or more races: - Two races excluding Some other race and three or more races
1500000US130630405192,1.31E+11,Block Group 2 Census Tract 405.19 Clayton County Georgia,889,57,765,0,0,0,0,67,0,67
1500000US130630405201,1.31E+11,Block Group 1 Census Tract 405.20 Clayton County Georgia,720,18,676,0,0,0,26,0,0,0
1500000US130630405202,1.31E+11,Block Group 2 Census Tract 405.20 Clayton County Georgia,575,0,540,0,22,0,0,13,0,13
1500000US130630405203,1.31E+11,Block Group 3 Census Tract 405.20 Clayton County Georgia,2049,139,1904,0,0,0,0,6,6,0
1500000US130630405211,1.31E+11,Block Group 1 Census Tract 405.21 Clayton County Georgia,1882,400,1281,0,58,0,45,98,0,98
1500000US130630405212,1.31E+11,Block Group 2 Census Tract 405.21 Clayton County Georgia,1571,406,1011,0,4,0,0,150,0,150
1500000US130630405221,1.31E+11,Block Group 1 Census Tract 405.22 Clayton County Georgia,1766,556,1064,0,146,0,0,0,0,0
1500000US130630405222,1.31E+11,Block Group 2 Census Tract 405.22 Clayton County Georgia,1455,76,1136,0,187,0,56,0,0,0
1500000US130630405223,1.31E+11,Block Group 3 Census Tract 405.22 Clayton County Georgia,1167,216,837,0,81,21,0,12,0,12
1500000US130630405231,1.31E+11,Block Group 1 Census Tract 405.23 Clayton County Georgia,3419,290,2174,0,451,0,476,28,28,0
1500000US130630405241,1.31E+11,Block Group 1 Census Tract 405.24 Clayton County Georgia,1884,99,1493,28,185,0,62,17,0,17
1500000US130630405242,1.31E+11,Block Group 2 Census Tract 405.24 Clayton County Georgia,1996,530,1273,21,117,0,0,55,0,55
1500000US130630405243,1.31E+11,Block Group 3 Census Tract 405.24 Clayton County Georgia,1088,41,1047,0,0,0,0,0,0,0
1500000US130630405244,1.31E+11,Block Group 4 Census Tract 405.24 Clayton County Georgia,2475,661,1527,0,0,0,138,149,0,149
1500000US130630405251,1.31E+11,Block Group 1 Census Tract 405.25 Clayton County Georgia,2852,232,2552,0,52,0,0,16,0,16
1500000US130630405261,1.31E+11,Block Group 1 Census Tract 405.26 Clayton County Georgia,2209,223,1972,0,0,0,0,14,0,14
1500000US130630405262,1.31E+11,Block Group 2 Census Tract 405.26 Clayton County Georgia,2141,132,1825,0,19,0,73,92,42,50
1500000US130630405263,1.31E+11,Block Group 3 Census Tract 405.26 Clayton County Georgia,1432,335,1082,0,0,0,15,0,0,0
1500000US130630406061,1.31E+11,Block Group 1 Census Tract 406.06 Clayton County Georgia,1954,611,1086,0,7,0,236,14,0,14
1500000US130630406062,1.31E+11,Block Group 2 Census Tract 406.06 Clayton County Georgia,1786,817,810,0,4,0,55,100,5,95
1500000US130630406081,1.31E+11,Block Group 1 Census Tract 406.08 Clayton County Georgia,8254,1420,6672,11,32,0,21,98,22,76
1500000US130630406082,1.31E+11,Block Group 2 Census Tract 406.08 Clayton County Georgia,2636,489,2055,0,18,0,0,74,0,74
1500000US130630406091,1.31E+11,Block Group 1 Census Tract 406.09 Clayton County Georgia,1633,736,886,0,0,0,0,11,0,11
1500000US130630406092,1.31E+11,Block Group 2 Census Tract 406.09 Clayton County Georgia,2330,961,937,0,376,0,0,56,0,56
1500000US130630406093,1.31E+11,Block Group 3 Census Tract 406.09 Clayton County Georgia,2166,255,1712,0,199,0,0,0,0,0
1500000US130630406111,1.31E+11,Block Group 1 Census Tract 406.11 Clayton County Georgia,2911,1477,1189,0,58,0,187,0,0,0
1500000US130630406112,1.31E+11,Block Group 2 Census Tract 406.11 Clayton County Georgia,655,171,419,0,65,0,0,0,0,0
1500000US130630406113,1.31E+11,Block Group 3 Census Tract 406.11 Clayton County Georgia,2442,481,1807,0,0,0,66,88,88,0
1500000US130630406121,1.31E+11,Block Group 1 Census Tract 406.12 Clayton County Georgia,749,376,334,0,39,0,0,0,0,0
1500000US130630406122,1.31E+11,Block Group 2 Census Tract 406.12 Clayton County Georgia,3170,473,2007,0,68,0,425,197,19,178
1500000US130630406123,1.31E+11,Block Group 3 Census Tract 406.12 Clayton County Georgia,2635,871,1608,0,78,0,39,39,5,34
1500000US130630406131,1.31E+11,Block Group 1 Census Tract 406.13 Clayton County Georgia,2401,624,1628,0,149,0,0,0,0,0
1500000US130630406132,1.31E+11,Block Group 2 Census Tract 406.13 Clayton County Georgia,2115,831,1260,0,24,0,0,0,0,0
1500000US130630406133,1.31E+11,Block Group 3 Census Tract 406.13 Clayton County Georgia,3298,1214,1979,0,99,0,0,6,6,0
1500000US130630406141,1.31E+11,Block Group 1 Census Tract 406.14 Clayton County Georgia,1359,693,435,0,231,0,0,0,0,0
