GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21
Id,Id2,Geography,Estimate; Total:,Estimate; Male:,Estimate; Male: - Private for-profit wage and salary workers:,Estimate; Male: - Private for-profit wage and salary workers: - Employee of private company workers,Estimate; Male: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Estimate; Male: - Private not-for-profit wage and salary workers,Estimate; Male: - Local government workers,Estimate; Male: - State government workers,Estimate; Male: - Federal government workers,Estimate; Male: - Self-employed in own not incorporated business workers,Estimate; Male: - Unpaid family workers,Estimate; Female:,Estimate; Female: - Private for-profit wage and salary workers:,Estimate; Female: - Private for-profit wage and salary workers: - Employee of private company workers,Estimate; Female: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Estimate; Female: - Private not-for-profit wage and salary workers,Estimate; Female: - Local government workers,Estimate; Female: - State government workers,Estimate; Female: - Federal government workers,Estimate; Female: - Self-employed in own not incorporated business workers,Estimate; Female: - Unpaid family workers
1500000US130630404122,130630000000,Block Group 2 Census Tract 404.12 Clayton County Georgia,1504,606,552,504,48,0,0,0,47,7,0,898,572,572,0,99,29,50,74,74,0
1500000US130630404123,130630000000,Block Group 3 Census Tract 404.12 Clayton County Georgia,1085,609,357,344,13,26,90,27,71,38,0,476,283,283,0,55,85,0,0,53,0
1500000US130630404131,130630000000,Block Group 1 Census Tract 404.13 Clayton County Georgia,1476,704,502,502,0,74,27,0,15,86,0,772,673,673,0,0,50,16,0,33,0
1500000US130630404132,130630000000,Block Group 2 Census Tract 404.13 Clayton County Georgia,1750,778,517,517,0,46,39,74,63,39,0,972,668,668,0,57,161,45,27,14,0
1500000US130630404141,130630000000,Block Group 1 Census Tract 404.14 Clayton County Georgia,678,420,367,365,2,0,0,35,8,10,0,258,167,165,2,38,6,47,0,0,0
1500000US130630404151,130630000000,Block Group 1 Census Tract 404.15 Clayton County Georgia,459,237,218,218,0,0,0,0,0,19,0,222,176,176,0,4,0,30,12,0,0
1500000US130630404152,130630000000,Block Group 2 Census Tract 404.15 Clayton County Georgia,852,421,353,353,0,0,0,26,8,34,0,431,319,301,18,64,0,35,0,13,0
1500000US130630404153,130630000000,Block Group 3 Census Tract 404.15 Clayton County Georgia,434,262,242,242,0,0,0,0,20,0,0,172,136,136,0,0,0,10,26,0,0
1500000US130630404154,130630000000,Block Group 4 Census Tract 404.15 Clayton County Georgia,963,626,607,607,0,0,19,0,0,0,0,337,315,315,0,0,0,0,22,0,0
1500000US130630404161,130630000000,Block Group 1 Census Tract 404.16 Clayton County Georgia,1010,486,417,417,0,0,0,0,0,69,0,524,446,446,0,0,49,20,9,0,0
1500000US130630404162,130630000000,Block Group 2 Census Tract 404.16 Clayton County Georgia,537,317,316,316,0,0,0,0,0,1,0,220,163,154,9,0,49,0,0,8,0
1500000US130630404171,130630000000,Block Group 1 Census Tract 404.17 Clayton County Georgia,928,343,325,325,0,0,0,11,0,7,0,585,422,413,9,0,130,14,19,0,0
1500000US130630404172,130630000000,Block Group 2 Census Tract 404.17 Clayton County Georgia,197,130,105,105,0,0,0,0,0,25,0,67,16,8,8,11,25,0,15,0,0
1500000US130630404173,130630000000,Block Group 3 Census Tract 404.17 Clayton County Georgia,550,284,187,187,0,53,1,0,9,34,0,266,163,163,0,11,34,50,0,8,0
1500000US130630405091,130630000000,Block Group 1 Census Tract 405.09 Clayton County Georgia,810,380,274,263,11,0,70,0,36,0,0,430,291,261,30,52,26,12,25,24,0
1500000US130630405092,130630000000,Block Group 2 Census Tract 405.09 Clayton County Georgia,1345,702,612,585,27,0,9,0,22,59,0,643,366,359,7,18,73,63,72,51,0
1500000US130630405101,130630000000,Block Group 1 Census Tract 405.10 Clayton County Georgia,831,407,290,290,0,25,47,24,0,0,21,424,321,276,45,21,4,5,33,15,25
1500000US130630405102,130630000000,Block Group 2 Census Tract 405.10 Clayton County Georgia,566,224,180,167,13,5,7,9,1,22,0,342,232,220,12,0,17,5,76,12,0
1500000US130630405121,130630000000,Block Group 1 Census Tract 405.12 Clayton County Georgia,1018,486,362,362,0,5,83,0,16,20,0,532,342,342,0,38,74,53,0,25,0
1500000US130630405122,130630000000,Block Group 2 Census Tract 405.12 Clayton County Georgia,321,161,112,104,8,0,20,0,29,0,0,160,101,101,0,12,25,0,0,22,0
1500000US130630405123,130630000000,Block Group 3 Census Tract 405.12 Clayton County Georgia,868,395,302,302,0,46,6,0,41,0,0,473,273,273,0,50,17,45,69,19,0
1500000US130630405131,130630000000,Block Group 1 Census Tract 405.13 Clayton County Georgia,474,226,214,214,0,0,6,6,0,0,0,248,175,175,0,19,10,0,44,0,0
1500000US130630405132,130630000000,Block Group 2 Census Tract 405.13 Clayton County Georgia,649,266,149,123,26,26,0,31,46,14,0,383,216,194,22,0,124,23,20,0,0
1500000US130630405133,130630000000,Block Group 3 Census Tract 405.13 Clayton County Georgia,925,353,198,198,0,0,12,63,31,49,0,572,312,312,0,75,138,15,16,16,0
1500000US130630405141,130630000000,Block Group 1 Census Tract 405.14 Clayton County Georgia,788,292,242,221,21,9,7,0,34,0,0,496,332,332,0,32,107,25,0,0,0
1500000US130630405142,130630000000,Block Group 2 Census Tract 405.14 Clayton County Georgia,793,486,304,304,0,73,0,0,12,97,0,307,189,189,0,18,43,33,11,13,0
1500000US130630405143,130630000000,Block Group 3 Census Tract 405.14 Clayton County Georgia,1779,851,606,606,0,65,13,0,26,141,0,928,777,777,0,54,66,0,31,0,0
1500000US130630405151,130630000000,Block Group 1 Census Tract 405.15 Clayton County Georgia,365,186,92,92,0,0,65,0,0,29,0,179,90,90,0,38,37,14,0,0,0
