GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08
Id,Id2,Geography,Estimate; Total:,Estimate; Own child:,Estimate; Own child: - Biological child,Estimate; Own child: - Adopted child,Estimate; Own child: - Stepchild,Estimate; Grandchild,Estimate; Other relatives,Estimate; Foster child or other unrelated child
1500000US130670302221,1.31E+11,Block Group 1 Census Tract 302.22 Cobb County Georgia,854,854,792,62,0,0,0,0
1500000US130670302222,1.31E+11,Block Group 2 Census Tract 302.22 Cobb County Georgia,500,403,338,0,65,97,0,0
1500000US130670302223,1.31E+11,Block Group 3 Census Tract 302.22 Cobb County Georgia,208,192,192,0,0,16,0,0
1500000US130670302231,1.31E+11,Block Group 1 Census Tract 302.23 Cobb County Georgia,881,738,711,0,27,116,27,0
1500000US130670302232,1.31E+11,Block Group 2 Census Tract 302.23 Cobb County Georgia,360,356,290,0,66,0,4,0
1500000US130670302233,1.31E+11,Block Group 3 Census Tract 302.23 Cobb County Georgia,124,40,40,0,0,0,0,84
1500000US130670302241,1.31E+11,Block Group 1 Census Tract 302.24 Cobb County Georgia,1735,1720,1511,54,155,0,0,15
1500000US130670302242,1.31E+11,Block Group 2 Census Tract 302.24 Cobb County Georgia,305,233,233,0,0,0,61,11
1500000US130670302261,1.31E+11,Block Group 1 Census Tract 302.26 Cobb County Georgia,1214,1092,1092,0,0,21,101,0
1500000US130670302262,1.31E+11,Block Group 2 Census Tract 302.26 Cobb County Georgia,455,455,439,0,16,0,0,0
1500000US130670302263,1.31E+11,Block Group 3 Census Tract 302.26 Cobb County Georgia,856,856,716,24,116,0,0,0
1500000US130670302271,1.31E+11,Block Group 1 Census Tract 302.27 Cobb County Georgia,418,418,392,26,0,0,0,0
1500000US130670302272,1.31E+11,Block Group 2 Census Tract 302.27 Cobb County Georgia,623,604,594,0,10,0,19,0
1500000US130670302273,1.31E+11,Block Group 3 Census Tract 302.27 Cobb County Georgia,469,448,378,0,70,21,0,0
1500000US130670302281,1.31E+11,Block Group 1 Census Tract 302.28 Cobb County Georgia,579,565,565,0,0,14,0,0
1500000US130670302282,1.31E+11,Block Group 2 Census Tract 302.28 Cobb County Georgia,83,70,70,0,0,13,0,0
1500000US130670302283,1.31E+11,Block Group 3 Census Tract 302.28 Cobb County Georgia,455,328,328,0,0,127,0,0
1500000US130670302284,1.31E+11,Block Group 4 Census Tract 302.28 Cobb County Georgia,163,163,144,0,19,0,0,0
1500000US130670302291,1.31E+11,Block Group 1 Census Tract 302.29 Cobb County Georgia,27,0,0,0,0,27,0,0
1500000US130670302292,1.31E+11,Block Group 2 Census Tract 302.29 Cobb County Georgia,326,308,281,0,27,13,0,5
1500000US130670302301,1.31E+11,Block Group 1 Census Tract 302.30 Cobb County Georgia,2374,2296,2137,18,141,78,0,0
1500000US130670302302,1.31E+11,Block Group 2 Census Tract 302.30 Cobb County Georgia,829,760,744,14,2,69,0,0
1500000US130670302311,1.31E+11,Block Group 1 Census Tract 302.31 Cobb County Georgia,277,275,275,0,0,2,0,0
1500000US130670302312,1.31E+11,Block Group 2 Census Tract 302.31 Cobb County Georgia,429,429,429,0,0,0,0,0
1500000US130670302313,1.31E+11,Block Group 3 Census Tract 302.31 Cobb County Georgia,431,431,397,0,34,0,0,0
