GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - English only,Estimate; Total: - Spanish:,Estimate; Total: - Spanish: - Limited English speaking household,Estimate; Total: - Spanish: - Not a limited English speaking household,Estimate; Total: - Other Indo-European languages:,Estimate; Total: - Other Indo-European languages: - Limited English speaking household,Estimate; Total: - Other Indo-European languages: - Not a limited English speaking household,Estimate; Total: - Asian and Pacific Island languages:,Estimate; Total: - Asian and Pacific Island languages: - Limited English speaking household,Estimate; Total: - Asian and Pacific Island languages: - Not a limited English speaking household,Estimate; Total: - Other languages:,Estimate; Total: - Other languages: - Limited English speaking household,Estimate; Total: - Other languages: - Not a limited English speaking household
1500000US130670302292,1.31E+11,Block Group 2 Census Tract 302.29 Cobb County Georgia,968,808,44,33,11,69,9,60,18,0,18,29,0,29
1500000US130670302301,1.31E+11,Block Group 1 Census Tract 302.30 Cobb County Georgia,3361,2430,523,212,311,227,16,211,42,0,42,139,42,97
1500000US130670302302,1.31E+11,Block Group 2 Census Tract 302.30 Cobb County Georgia,2106,1846,46,0,46,151,0,151,25,25,0,38,0,38
1500000US130670302311,1.31E+11,Block Group 1 Census Tract 302.31 Cobb County Georgia,284,172,30,0,30,49,0,49,33,0,33,0,0,0
1500000US130670302312,1.31E+11,Block Group 2 Census Tract 302.31 Cobb County Georgia,766,740,0,0,0,0,0,0,26,0,26,0,0,0
1500000US130670302313,1.31E+11,Block Group 3 Census Tract 302.31 Cobb County Georgia,600,587,0,0,0,13,0,13,0,0,0,0,0,0
1500000US130670302314,1.31E+11,Block Group 4 Census Tract 302.31 Cobb County Georgia,1108,933,99,16,83,76,0,76,0,0,0,0,0,0
1500000US130670302321,1.31E+11,Block Group 1 Census Tract 302.32 Cobb County Georgia,882,720,85,0,85,23,0,23,10,0,10,44,0,44
1500000US130670302322,1.31E+11,Block Group 2 Census Tract 302.32 Cobb County Georgia,1032,810,106,88,18,98,0,98,18,0,18,0,0,0
1500000US130670302331,1.31E+11,Block Group 1 Census Tract 302.33 Cobb County Georgia,588,508,45,0,45,35,0,35,0,0,0,0,0,0
1500000US130670302332,1.31E+11,Block Group 2 Census Tract 302.33 Cobb County Georgia,911,761,52,0,52,37,0,37,51,7,44,10,0,10
1500000US130670302341,1.31E+11,Block Group 1 Census Tract 302.34 Cobb County Georgia,893,816,28,0,28,42,0,42,7,0,7,0,0,0
1500000US130670302342,1.31E+11,Block Group 2 Census Tract 302.34 Cobb County Georgia,1060,914,20,0,20,46,0,46,52,0,52,28,0,28
1500000US130670302351,1.31E+11,Block Group 1 Census Tract 302.35 Cobb County Georgia,602,589,0,0,0,13,0,13,0,0,0,0,0,0
1500000US130670302352,1.31E+11,Block Group 2 Census Tract 302.35 Cobb County Georgia,1029,983,36,0,36,10,0,10,0,0,0,0,0,0
1500000US130670302361,1.31E+11,Block Group 1 Census Tract 302.36 Cobb County Georgia,820,721,36,0,36,54,0,54,7,0,7,2,0,2
1500000US130670302362,1.31E+11,Block Group 2 Census Tract 302.36 Cobb County Georgia,651,584,21,0,21,0,0,0,46,0,46,0,0,0
1500000US130670302381,1.31E+11,Block Group 1 Census Tract 302.38 Cobb County Georgia,1092,1012,53,0,53,16,0,16,11,0,11,0,0,0
1500000US130670302382,1.31E+11,Block Group 2 Census Tract 302.38 Cobb County Georgia,1063,943,17,0,17,72,0,72,0,0,0,31,0,31
1500000US130670302391,1.31E+11,Block Group 1 Census Tract 302.39 Cobb County Georgia,541,489,35,0,35,0,0,0,17,0,17,0,0,0
1500000US130670302392,1.31E+11,Block Group 2 Census Tract 302.39 Cobb County Georgia,1090,918,72,0,72,59,16,43,41,41,0,0,0,0
1500000US130670302393,1.31E+11,Block Group 3 Census Tract 302.39 Cobb County Georgia,927,857,56,0,56,14,0,14,0,0,0,0,0,0
1500000US130670303101,1.31E+11,Block Group 1 Census Tract 303.10 Cobb County Georgia,495,328,49,29,20,62,0,62,30,16,14,26,0,26
1500000US130670303102,1.31E+11,Block Group 2 Census Tract 303.10 Cobb County Georgia,751,722,0,0,0,12,0,12,6,0,6,11,0,11
1500000US130670303103,1.31E+11,Block Group 3 Census Tract 303.10 Cobb County Georgia,287,214,59,0,59,0,0,0,14,0,14,0,0,0
1500000US130670303104,1.31E+11,Block Group 4 Census Tract 303.10 Cobb County Georgia,731,522,128,54,74,81,0,81,0,0,0,0,0,0
1500000US130670303105,1.31E+11,Block Group 5 Census Tract 303.10 Cobb County Georgia,476,334,51,19,32,69,18,51,10,10,0,12,1,11
1500000US130670303111,1.31E+11,Block Group 1 Census Tract 303.11 Cobb County Georgia,605,489,14,0,14,42,10,32,60,0,60,0,0,0
1500000US130670303112,1.31E+11,Block Group 2 Census Tract 303.11 Cobb County Georgia,409,368,27,0,27,14,0,14,0,0,0,0,0,0
1500000US130670303113,1.31E+11,Block Group 3 Census Tract 303.11 Cobb County Georgia,397,335,15,0,15,16,0,16,31,0,31,0,0,0
1500000US130670303114,1.31E+11,Block Group 4 Census Tract 303.11 Cobb County Georgia,784,722,30,0,30,32,0,32,0,0,0,0,0,0
1500000US130670303121,1.31E+11,Block Group 1 Census Tract 303.12 Cobb County Georgia,1081,957,20,0,20,68,0,68,14,0,14,22,0,22
1500000US130670303122,1.31E+11,Block Group 2 Census Tract 303.12 Cobb County Georgia,594,507,45,0,45,13,0,13,29,0,29,0,0,0
