GEOID10,Total Beltline Zone,Northeast Study Area,Northside Study Area,Southeast Study Area,Southwest Study Area,Westside Study Area,Northeast Zone,Northside Zone,Southeast Zone,Southwest Zone,Westside Zone
1500000US130630405181,0,0,0,0,0,0,0,0,0,0,0
1500000US130630405182,0,0,0,0,0,0,0,0,0,0,0
1500000US130630405183,0,0,0,0,0,0,0,0,0,0,0
1500000US130630405191,0,0,0,0,0,0,0,0,0,0,0
1500000US130630405192,0,0,0,0,0,0,0,0,0,0,0
1500000US130630405201,0,0,0,0,0,0,0,0,0,0,0
1500000US130630405202,0,0,0,0,0,0,0,0,0,0,0
1500000US130630405203,0,0,0,0,0,0,0,0,0,0,0
1500000US130630405211,0,0,0,0,0,0,0,0,0,0,0
1500000US130630405212,0,0,0,0,0,0,0,0,0,0,0
1500000US130630405221,0,0,0,0,0,0,0,0,0,0,0
1500000US130630405222,0,0,0,0,0,0,0,0,0,0,0
1500000US130630405223,0,0,0,0,0,0,0,0,0,0,0
1500000US130630405231,0,0,0,0,0,0,0,0,0,0,0
1500000US130630405241,0,0,0,0,0,0,0,0,0,0,0
1500000US130630405242,0,0,0,0,0,0,0,0,0,0,0
1500000US130630405243,0,0,0,0,0,0,0,0,0,0,0
1500000US130630405244,0,0,0,0,0,0,0,0,0,0,0
1500000US130630405251,0,0,0,0,0,0,0,0,0,0,0
1500000US130630405261,0,0,0,0,0,0,0,0,0,0,0
1500000US130630405262,0,0,0,0,0,0,0,0,0,0,0
1500000US130630405263,0,0,0,0,0,0,0,0,0,0,0
1500000US130630406061,0,0,0,0,0,0,0,0,0,0,0
1500000US130630406062,0,0,0,0,0,0,0,0,0,0,0
1500000US130630406081,0,0,0,0,0,0,0,0,0,0,0
1500000US130630406082,0,0,0,0,0,0,0,0,0,0,0
1500000US130630406091,0,0,0,0,0,0,0,0,0,0,0
1500000US130630406092,0,0,0,0,0,0,0,0,0,0,0
1500000US130630406093,0,0,0,0,0,0,0,0,0,0,0
1500000US130630406111,0,0,0,0,0,0,0,0,0,0,0
1500000US130630406112,0,0,0,0,0,0,0,0,0,0,0
1500000US130630406113,0,0,0,0,0,0,0,0,0,0,0
1500000US130630406121,0,0,0,0,0,0,0,0,0,0,0
1500000US130630406122,0,0,0,0,0,0,0,0,0,0,0
1500000US130630406123,0,0,0,0,0,0,0,0,0,0,0
1500000US130630406131,0,0,0,0,0,0,0,0,0,0,0
1500000US130630406132,0,0,0,0,0,0,0,0,0,0,0
1500000US130630406133,0,0,0,0,0,0,0,0,0,0,0
1500000US130630406141,0,0,0,0,0,0,0,0,0,0,0
1500000US130630406142,0,0,0,0,0,0,0,0,0,0,0
1500000US130630406143,0,0,0,0,0,0,0,0,0,0,0
1500000US130630406151,0,0,0,0,0,0,0,0,0,0,0
1500000US130630406161,0,0,0,0,0,0,0,0,0,0,0
1500000US130630406162,0,0,0,0,0,0,0,0,0,0,0
1500000US130630406163,0,0,0,0,0,0,0,0,0,0,0
1500000US130630406171,0,0,0,0,0,0,0,0,0,0,0
1500000US130630406191,0,0,0,0,0,0,0,0,0,0,0
1500000US130630406201,0,0,0,0,0,0,0,0,0,0,0
1500000US130630406211,0,0,0,0,0,0,0,0,0,0,0
1500000US130630406212,0,0,0,0,0,0,0,0,0,0,0
1500000US130630406221,0,0,0,0,0,0,0,0,0,0,0
1500000US130630406222,0,0,0,0,0,0,0,0,0,0,0
1500000US130630406223,0,0,0,0,0,0,0,0,0,0,0
1500000US130639800001,0,0,0,0,0,0,0,0,0,0,0
1500000US130670301011,0,0,0,0,0,0,0,0,0,0,0
1500000US130670301012,0,0,0,0,0,0,0,0,0,0,0
1500000US130670301013,0,0,0,0,0,0,0,0,0,0,0
1500000US130670301014,0,0,0,0,0,0,0,0,0,0,0
1500000US130670301031,0,0,0,0,0,0,0,0,0,0,0
